Pos.,No.,Driver,Team,Time,Grid
1,4,Sergio Pérez,Barwa Addax Team,1:45.337,1
2,15,Pastor Maldonado,Rapax,1:45.462,2
3,1,Jules Bianchi,ART Grand Prix,1:45.658,3
4,10,Davide Valsecchi,iSport International,1:45.898,4
5,3,Giedo van der Garde,Barwa Addax Team,1:45.995,5
6,26,Michael Herck,DPR,1:46.117,6
7,16,Charles Pic,Arden International Motorsport,1:46.171,7
8,8,Christian Vietoris,Racing Engineering,1:46.263,8
9,27,Giacomo Ricci,DPR,1:46.358,9
10,2,Sam Bird,ART Grand Prix,1:46.362,10
11,7,Dani Clos,Racing Engineering,1:46.478,11
12,24,Johnny Cecotto Jr.,Trident Racing,1:46.504,12
13,20,Alberto Valerio,Scuderia Coloni,1:46.508,13
14,14,Luiz Razia,Rapax,1:46.518,14
15,25,Adrian Zaugg,Trident Racing,1:46.532,15
16,9,Oliver Turvey,iSport International,1:46.633,16
17,5,Josef Král,Super Nova Racing,1:46.709,17
18,11,Jérôme d'Ambrosio,DAMS,1:46.743,18
19,6,Marcus Ericsson,Super Nova Racing,1:46.756,24
20,12,Ho-Pin Tung,DAMS,1:46.780,19
21,21,Vladimir Arabadzhiev,Scuderia Coloni,1:46.868,20
22,17,Rodolfo González,Arden International Motorsport,1:46.953,21
23,19,Fabio Leimer,Ocean Racing Technology,1:47.011,22
24,18,Max Chilton,Ocean Racing Technology,1:47.054,23
