Pos.,No.,Driver,Team,Time,Grid
1,1,Jules Bianchi,ART Grand Prix,1:39.189,1
2,15,Pastor Maldonado,Rapax,1:39.325,2
3,8,Christian Vietoris,Racing Engineering,1:39.423,12
4,7,Dani Clos,Racing Engineering,1:39.653,3
5,9,Oliver Turvey,iSport International,1:39.701,4
6,2,Sam Bird,ART Grand Prix,1:39.756,5
7,16,Charles Pic,Arden International Motorsport,1:39.791,6
8,3,Giedo van der Garde,Barwa Addax Team,1:39.809,7
9,20,Alberto Valerio,Scuderia Coloni,1:39.811,17
10,4,Sergio Pérez,Barwa Addax Team,1:39.894,8
11,10,Davide Valsecchi,iSport International,1:39.901,9
12,11,Jérôme d'Ambrosio,DAMS,1:39.941,10
13,5,Luca Filippi,Super Nova Racing,1:39.984,11
14,27,Giacomo Ricci,DPR,1:40.288,13
15,26,Michael Herck,DPR,1:40.342,14
16,6,Marcus Ericsson,Super Nova Racing,1:40.511,15
17,14,Luiz Razia,Rapax,1:40.559,16
18,24,Johnny Cecotto Jr.,Trident Racing,1:40.747,23
19,25,Adrian Zaugg,Trident Racing,1:40.812,18
20,18,Max Chilton,Ocean Racing Technology,1:41.046,19
21,17,Rodolfo González,Arden International Motorsport,1:41.344,20
22,19,Fabio Leimer,Ocean Racing Technology,1:41.548,21
23,21,Vladimir Arabadzhiev,Scuderia Coloni,1:41.654,22
24,12,Ho-Pin Tung,DAMS,No time,24
