Team,Chassis[N 1],Engine,No.,Driver,Rounds
Prema Powerteam[6],F312/030,Mercedes,1
Prema Powerteam[6],F312/014,2,Alex Lynn[6][N 2]
Prema Powerteam[6],F312/005,24,Lucas Auer[7][N 3]
Prema Powerteam[6],F312/015,25,Eddie Cheever III[8][N 4]
Carlin[9],F312/010,Volkswagen,3
Carlin[9],F312/004,4,Jordan King[10][N 5]
Carlin[9],F312/001,26,Nicholas Latifi[10][N 6]
Carlin[9],F312/040,27,Jann Mardenborough[10][N 7]
Carlin[9],F312/016,51,Daniil Kvyat[11][N 8]
Carlin[9],Nick Cassidy[12][N 8],10,
kfzteile24Mücke Motorsport[9],F312/023,Mercedes,5
kfzteile24Mücke Motorsport[9],Michael Lewis[14][N 9],2–10,
kfzteile24Mücke Motorsport[9],F312/004,6,Felix Rosenqvist[15]
kfzteile24Mücke Motorsport[9],F312/019,28,Mitchell Gilbert[16][N 10]
kfzteile24Mücke Motorsport[9],F312/039,29,Roy Nissany[17][N 7]
ma-con[9],F312/045,Volkswagen,7
ma-con[9],Stefano Coletti[19],10,
ma-con[9],F312/046,8,André Rudersdorf[20]
,URD Rennsport[9],F312/011,Mercedes
,Jo Zeller Racing[9],F312/048,Mercedes
Fortec Motorsports[23],F312/007,Mercedes,11
Fortec Motorsports[23],F312/003,12,Luis Felipe Derani[23][N 12]
Fortec Motorsports[23],F312/036,30,Josh Hill[24][N 7]
Fortec Motorsports[23],F312/035,John Bryant-Meisner[25][N 7],9–10
Fortec Motorsports[23],31,Dmitry Suranovich[24][N 7],1
Fortec Motorsports[23],Edward Jones[26][N 8],3,
Fortec Motorsports[23],William Buller[27],5,
Fortec Motorsports[23],Alfonso Celis Jr.[28][N 7],8,
ThreeBondwithT-Sport,F312/008,ThreeBond Nissan,14
ThreeBondwithT-Sport,Alexander Sims[30],6–9,
ThreeBondwithT-Sport,Kevin Korjus[31],10,
ThreeBondwithT-Sport,F312/049,15,Richard Goddard[32]
Double R Racing[33],F312/043,Mercedes,16
Double R Racing[33],F312/009,17,Antonio Giovinazzi[33]
Double R Racing[33],F312/004,32,Sean Gelael[33]
Van Amersfoort Racing[34],F312/052,Volkswagen,18
Van Amersfoort Racing[34],F312/051,19,Måns Grenhagen[36]
Van Amersfoort Racing[34],Sven Müller[37],8–10,
EuroInternational[9],F312/053,Mercedes[38],20
EuroInternational[9],F312/003,52,Nick Cassidy[39][N 8]
Romeo Ferraris[40],F312/003,Mercedes[40],22
Romeo Ferraris[40],F312/001,23,Michela Cerruti[40]
