Team,No.,Driver,Rounds
DAMS,1,Sean Gelael,"1–6, 11–12"
DAMS,1,Jüri Vips,7–10
DAMS,2,Dan Ticktum,All
UNI-Virtuosi Racing,3,Zhou Guanyu,All
UNI-Virtuosi Racing,4,Callum Ilott,All
ART Grand Prix,5,Marcus Armstrong,All
ART Grand Prix,6,Christian Lundgaard,All
Carlin,7,Yuki Tsunoda,All
Carlin,8,Jehan Daruvala,All
Campos Racing,9,Jack Aitken,1–11
Campos Racing,9,Ralph Boschung,12
Campos Racing,10,Guilherme Samaia,All
Charouz Racing System,11,Louis Delétraz,All
Charouz Racing System,12,Pedro Piquet,All
MP Motorsport,14,Nobuharu Matsushita,1–9
MP Motorsport,14,Giuliano Alesi,10–12
MP Motorsport,15,Felipe Drugovich,All
BWT HWA Racelab,16,Artem Markelov,All
BWT HWA Racelab,17,Giuliano Alesi,1–9
BWT HWA Racelab,17,Jake Hughes,10
BWT HWA Racelab,17,Théo Pourchaire,11–12
Prema Racing,20,Mick Schumacher,All
Prema Racing,21,Robert Shwartzman,All
Trident,22,Roy Nissany,All
Trident,23,Marino Sato,All
Hitech Grand Prix,24,Nikita Mazepin,All
Hitech Grand Prix,25,Luca Ghiotto,All
