Pos.,No.,Driver,Team,Time,Grid
1,3,Alexander Albon,ART Grand Prix,1:55.274,1
2,9,Jake Dennis,Arden International,1:55.514,2
3,11,Jack Aitken,Arden International,1:55.604,3
4,4,Nyck de Vries,ART Grand Prix,1:55.629,4
5,1,Charles Leclerc,ART Grand Prix,1:55.660,5
6,26,Santino Ferrucci,DAMS,1:55.678,6
7,20,Arjun Maini,Jenzer Motorsport,1:55.683,7
8,28,Kevin Jörg,DAMS,1:55.892,8
9,23,Steijn Schothorst,Campos Racing,1:55.981,9
10,2,Nirei Fukuzumi,ART Grand Prix,1:56.094,10
11,5,Antonio Fuoco,Trident,1:56.145,11
12,6,Artur Janosz,Trident,1:56.154,12
13,22,Álex Palou,Campos Racing,1:56.155,13
14,14,Matt Parry,Koiranen GP,1:56.256,14
15,7,Giuliano Alesi,Trident,1:56.361,15
16,24,Konstantin Tereshchenko,Campos Racing,1:56.563,16
17,8,Sandy Stuvik,Trident,1:56.570,17
18,10,Tatiana Calderón,Arden International,1:56.729,18
19,18,Akash Nandy,Jenzer Motorsport,1:56.732,19
20,27,Jake Hughes,DAMS,1:56.995,22
21,16,Matevos Isaakyan,Koiranen GP,1:57.513,20
–,19,Alessio Lorandi,Jenzer Motorsport,no time,21
