Pos.,No.,Driver,Team,Time,Grid
1,1,Charles Leclerc,ART Grand Prix,2:04.896,1
2,27,Jake Hughes,DAMS,2:05.259,2
3,4,Nyck de Vries,ART Grand Prix,2:05.393,3
4,5,Antonio Fuoco,Trident,2:05.448,4
5,28,Kevin Jörg,DAMS,2:05.612,5
6,14,Matt Parry,Koiranen GP,2:05.653,6
7,20,Arjun Maini,Jenzer Motorsport,2:05.661,7
8,8,Sandy Stuvik,Trident,2:05.758,8
9,26,Santino Ferrucci,DAMS,2:05.852,9
10,22,Álex Palou,Campos Racing,2:05.880,10
11,2,Nirei Fukuzumi,ART Grand Prix,2:06.012,11
12,16,Matevos Isaakyan,Koiranen GP,2:06.145,12
13,9,Jake Dennis,Arden International,2:06.179,13
14,11,Jack Aitken,Arden International,2:06.185,14
15,23,Steijn Schothorst,Campos Racing,2:06.201,15
16,19,Óscar Tunjo,Jenzer Motorsport,2:06.282,16
17,3,Alexander Albon,ART Grand Prix,2:06.421,17
18,6,Artur Janosz,Trident,2:06.531,18
19,7,Giuliano Alesi,Trident,2:06.740,19
20,24,Konstantin Tereshchenko,Campos Racing,2:06.769,20
21,17,Niko Kari,Koiranen GP,2:06.772,21
22,10,Tatiana Calderón,Arden International,2:06.900,22
23,18,Akash Nandy,Jenzer Motorsport,2:07.086,23
