Pos.,No.,Driver,Team,Time,Grid
1,1,Charles Leclerc,ART Grand Prix,1:19.041,1
2,3,Alexander Albon,ART Grand Prix,1:19.567,2
3,4,Nyck de Vries,ART Grand Prix,1:19.734,3
4,17,Ralph Boschung,Koiranen GP,1:19.775,4
5,2,Nirei Fukuzumi,ART Grand Prix,1:19.842,5
6,14,Matt Parry,Koiranen GP,1:19.868,6
7,20,Óscar Tunjo,Jenzer Motorsport,1:19.878,7
8,9,Jake Dennis,Arden International,1:19.917,8
9,27,Jake Hughes,DAMS,1:19.925,9
10,26,Santino Ferrucci,DAMS,1:19.980,10
11,5,Antonio Fuoco,Trident,1:20.080,11
12,8,Sandy Stuvik,Trident,1:20.102,12
13,10,Tatiana Calderón,Arden International,1:20.104,13
14,6,Artur Janosz,Trident,1:20.126,14
15,11,Jack Aitken,Arden International,1:20.227,15
16,16,Matevos Isaakyan,Koiranen GP,1:20.294,16
17,22,Álex Palou,Campos Racing,1:20.309,17
18,23,Steijn Schothorst,Campos Racing,1:20.378,18
19,28,Kevin Jörg,DAMS,1:20.429,19
20,19,Richard Gonda,Jenzer Motorsport,1:20.579,20
21,18,Akash Nandy,Jenzer Motorsport,1:20.593,21
22,24,Konstantin Tereshchenko,Campos Racing,1:20.651,22
