Team,No.,Drivers,Rounds
RT Russian Time,1,Mitch Evans,All
RT Russian Time,2,Artem Markelov,All
Carlin,3,Felipe Nasr,All
Carlin,4,Julián Leal,All
Racing Engineering,5,Raffaele Marciello,All
Racing Engineering,6,Stefano Coletti,All
DAMS,7,Jolyon Palmer,All
DAMS,8,Stéphane Richelmi,All
ART Grand Prix,9,Takuya Izawa,All
ART Grand Prix,10,Stoffel Vandoorne,All
Hilmer Motorsport,11,Daniel Abt,1–10
Hilmer Motorsport,11,Nicholas Latifi,11
Hilmer Motorsport,12,Facu Regalia,1–4
Hilmer Motorsport,12,Jon Lancaster,5–11
Rapax,14,Adrian Quaife-Hobbs,1–9
Rapax,14,Tio Ellinas,10
Rapax,14,Kevin Giovesi,11
Rapax,15,Simon Trummer,All
Arden International,16,René Binder,All
Arden International,17,André Negrão,"1, 3–11"
Arden International,17,Tom Dillmann,2
EQ8 Caterham Racing(1–8)Caterham Racing(9–11),18,Rio Haryanto,All
EQ8 Caterham Racing(1–8)Caterham Racing(9–11),19,Alexander Rossi,1–5
EQ8 Caterham Racing(1–8)Caterham Racing(9–11),19,Tom Dillmann,6–8
EQ8 Caterham Racing(1–8)Caterham Racing(9–11),19,Pierre Gasly,9–11
MP Motorsport,20,Daniël de Jong,All
MP Motorsport,21,Jon Lancaster,1
MP Motorsport,21,Tio Ellinas,2–4
MP Motorsport,21,Marco Sørensen,5–11
Trident,22,Axcil Jefferies,1
Trident,22,Sergio Canamasas,2–11
Trident,23,Johnny Cecotto Jr.,All
Venezuela GP Lazarus,24,Nathanaël Berthon,All
Venezuela GP Lazarus,25,Conor Daly,"1–8, 11"
Venezuela GP Lazarus,25,Sergio Campana,9–10
Campos Racing,26,Arthur Pic,All
Campos Racing,27,Kimiya Sato,"1–5, 7–11"
Campos Racing,27,Alexander Rossi,6
