Pos,Team,RBR1 R1,RBR1 R2,RBR2 R1,RBR2 R2,HUN R1,HUN R2,SIL1 R1,SIL1 R2,SIL2 R1,SIL2 R2,CAT R1,CAT R2,SPA R1,SPA R2,MNZ R1,MNZ R2,MUG R1,MUG R2,Points
1,Prema Racing,1,8,4,5,2,2,2,Ret,7,6,6,1,5,6,3,Ret,11,7,470.5
1,Prema Racing,4,6,1,8,Ret,Ret,5,4,4,8,Ret,21,6,2,1,23,1,9,470.5
1,Prema Racing,2,27,6,2,6,4,3,5,1,Ret,3,5,8,1,26,24,6,Ret,470.5
2,Trident,5,5,2,10,Ret,16,13,11,9,2,12,16,1,8,7,4,4,Ret,261.5
2,Trident,7,4,3,3,10,1,9,1,5,4,5,9,3,9,4,Ret,8,2,261.5
2,Trident,20,19,5,6,21,18,Ret,26,21,22,20,Ret,7,11,Ret,9,17,16,261.5
3,ART Grand Prix,13,26,9,1,1,6,12,8,6,3,7,6,2,5,2,2,3,3,251
3,ART Grand Prix,9,7,Ret,20,Ret,7,10,6,13,14,11,12,4,4,20,3,7,10,251
3,ART Grand Prix,Ret,13,13,9,5,8,7,21,24,13,15,13,11,10,Ret,11,9,8,251
4,Hitech Grand Prix,12,10,14,7,11,11,Ret,20,16,12,17,Ret,22,Ret,18,6,,,167
4,Hitech Grand Prix,6,1,8,Ret,Ret,Ret,1,7,3,5,2,7,9,3,6,7,10,1,167
4,Hitech Grand Prix,15,22,18,12,8,3,16,17,Ret,20,18,26,15,19,12,15,14,12,167
5,HWA Racelab,18,9,15,13,19,9,18,19,17,17,13,8,26,12,9,19,5,4,138.5
5,HWA Racelab,28,12,10,Ret,24,19,4,10,2,7,1,10,Ret,17,5,1,2,6,138.5
5,HWA Racelab,14,Ret,22,19,Ret,25,Ret,27,26,21,14,15,12,Ret,17,21,13,11,138.5
6,MP Motorsport,8,2,7,4,4,5,11,9,19,18,9,4,10,7,27,10,12,5,109
6,MP Motorsport,11,11,20,16,3,17,Ret,16,8,1,Ret,20,23,16,8,DSQ,Ret,20,109
6,MP Motorsport,24,14,16,18,12,Ret,Ret,22,23,Ret,21,22,21,13,14,Ret,21,17,109
7,Campos Racing,3,Ret,11,11,7,10,6,3,14,24,8,2,14,21,16,5,20,13,64
7,Campos Racing,29,20,27,21,20,23,23,28,25,Ret,28,Ret,Ret,23,23,22,25,26,64
7,Campos Racing,26,16,21,Ret,18,14,22,25,20,19,27,23,27,20,21,12,22,24,64
8,Carlin Buzz Racing,10,3,29,25,9,12,8,2,12,9,4,11,NC,15,13,Ret,24,14,46
8,Carlin Buzz Racing,23,24,19,15,14,21,20,12,10,Ret,16,24,17,14,19,Ret,15,19,46
8,Carlin Buzz Racing,22,Ret,24,Ret,17,22,21,24,11,11,19,17,25,22,15,16,23,25,46
9,Jenzer Motorsport,21,17,25,23,Ret,15,14,14,Ret,Ret,25,14,16,25,25,18,19,21,11
9,Jenzer Motorsport,19,21,28,22,13,Ret,19,13,Ret,23,26,Ret,18,24,22,14,18,22,11
9,Jenzer Motorsport,27,18,23,NC,22,24,24,23,27,16,10,3,13,26,Ret,20,16,15,11
10,Charouz Racing System,17,23,17,24,23,20,17,18,22,15,22,19,24,18,11,8,26,18,5
10,Charouz Racing System,16,25,26,14,15,Ret,15,Ret,18,10,24,18,19,27,24,17,,,5
10,Charouz Racing System,25,15,12,17,16,13,25,15,15,Ret,23,25,20,Ret,10,13,27,23,5
