Pos.,No.,Driver,Team,Time/Gap,Grid
1,2,Frederik Vesti,Prema Racing,1:20.483,1
2,11,David Beckmann,Trident,+0.123,2
3,3,Logan Sargeant,Prema Racing,+0.192,3
4,1,Oscar Piastri,Prema Racing,+0.212,4
5,7,Théo Pourchaire,ART Grand Prix,+0.276,5
6,10,Lirim Zendeli,Trident,+0.331,6
7,29,Alex Peroni,Campos Racing,+0.356,7
8,12,Olli Caldwell,Trident,+0.389,8
9,9,Sebastián Fernández,ART Grand Prix,+0.438,9
10,5,Liam Lawson,Hitech Grand Prix,+0.475,10
11,17,Richard Verschoor,MP Motorsport,+0.493,11
12,8,Aleksandr Smolyar,ART Grand Prix,+0.557,12
13,4,Max Fewtrell,Hitech Grand Prix,+0.582,13
14,22,Matteo Nannini,Jenzer Motorsport,+0.648,14
15,19,Lukas Dunner,MP Motorsport,+0.737,15
16,15,Jake Hughes,HWA Racelab,+0.744,16
17,25,David Schumacher,Charouz Racing System,+0.763,17
18,18,Bent Viscaal,MP Motorsport,+0.778,18
19,23,Roman Staněk,Charouz Racing System,+0.791,19
20,6,Dennis Hauger,Hitech Grand Prix,+0.846,20
21,31,Sophia Flörsch,Campos Racing,+0.850,21
22,14,Enzo Fittipaldi,HWA Racelab,+0.891,22
23,16,Jack Doohan,HWA Racelab,+0.966,23
24,24,Igor Fraga,Charouz Racing System,+1.037,24
25,26,Clément Novalak,Carlin Buzz Racing,+1.058,25
26,20,Calan Williams,Jenzer Motorsport,+1.149,26
27,27,Enaam Ahmed,Carlin Buzz Racing,+1.166,27
28,28,Cameron Das,Carlin Buzz Racing,+1.169,28
29,21,Federico Malvestiti,Jenzer Motorsport,+1.228,29
30,30,Alessio Deledda,Campos Racing,+1.848,30
