Pos.,No.,Driver,Team,Time/Gap,Grid
1,3,Logan Sargeant,Prema Racing,1:32.974,1
2,15,Jake Hughes,HWA Racelab,+0.111,2
3,5,Liam Lawson,Hitech Grand Prix,+0.143,3
4,1,Oscar Piastri,Prema Racing,+0.197,4
5,9,Sebastián Fernández,ART Grand Prix,+0.248,5
6,26,Clément Novalak,Carlin Buzz Racing,+0.265,6
7,11,David Beckmann,Trident,+0.345,7
8,7,Théo Pourchaire,ART Grand Prix,+0.412,8
9,29,Alex Peroni,Campos Racing,+0.433,9
10,10,Lirim Zendeli,Trident,+0.438,13
11,17,Richard Verschoor,MP Motorsport,+0.557,10
12,25,Leonardo Pulcini,Carlin Buzz Racing,+0.614,17
13,22,Matteo Nannini,Jenzer Motorsport,+0.628,11
14,8,Aleksandr Smolyar,ART Grand Prix,+0.708,12
15,2,Frederik Vesti,Prema Racing,+0.711,14
16,14,Enzo Fittipaldi,HWA Racelab,+0.788,15
17,16,Jack Doohan,HWA Racelab,+0.808,16
18,28,Cameron Das,Carlin Buzz Racing,+0.852,18
19,23,Roman Staněk,Charouz Racing System,+0.900,19
20,19,Lukas Dunner,MP Motorsport,+0.918,20
21,12,Olli Caldwell,Trident,+0.937,21
22,4,Max Fewtrell,Hitech Grand Prix,+0.960,22
23,18,Bent Viscaal,MP Motorsport,+0.963,23
24,6,Dennis Hauger,Hitech Grand Prix,+1.002,24
25,20,Calan Williams,Jenzer Motorsport,+1.030,25
26,25,David Schumacher,Charouz Racing System,+1.051,26
27,21,Federico Malvestiti,Jenzer Motorsport,+1.214,27
28,24,Igor Fraga,Charouz Racing System,+1.299,28
29,31,Sophia Flörsch,Campos Racing,+1.543,29
30,30,Alessio Deledda,Campos Racing,+2.207,30
