Pos.,No.,Driver,Team,Time,Gap,Grid
1,2,Oscar Piastri,Prema Racing,1:47.465,-,1
2,6,Jehan Daruvala,Carlin,1:47.653,+0.188,2
3,10,Théo Pourchaire,ART Grand Prix,1:47.891,+0.426,3
4,3,Guanyu Zhou,UNI-Virtuosi Racing,1:47.994,+0.529,4
5,21,Ralph Boschung,Campos Racing,1:48.024,+0.559,5
6,22,Jake Hughes,HWA Racelab,1:48.073,+0.608,6
7,1,Robert Shwartzman,Prema Racing,1:48.098,+0.633,7
8,7,Liam Lawson,Hitech Grand Prix,1:48.129,+0.664,8
9,8,Jüri Vips,Hitech Grand Prix,1:48.139,+0.674,9
10,5,Dan Ticktum,Carlin,1:48.171,+0.706,10
11,17,Marcus Armstrong,DAMS,1:48.190,+0.725,11
12,9,Christian Lundgaard,ART Grand Prix,1:48.255,+0.790,12
13,4,Felipe Drugovich,UNI-Virtuosi Racing,1:48.286,+0.821,13
14,20,David Beckmann,Campos Racing,1:48.428,+0.963,14
15,11,Richard Verschoor,MP Motorsport,1:48.587,+1.122,15
16,24,Bent Viscaal,Trident,1:48.662,+1.197,16
17,12,Lirim Zendeli,MP Motorsport,1:48.785,+1.320,17
18,16,Roy Nissany,DAMS,1:48.989,+1.524,18
19,15,Guilherme Samaia,Charouz Racing System,1:49.226,+1.761,19
20,25,Marino Sato,Trident,1:49.339,+1.874,20
21,14,Enzo Fittipaldi,Charouz Racing System,1:49.465,+2.000,21
22,23,Alessio Deledda,HWA Racelab,1:50.389,+2.924,22
