Pos.,No.,Driver,Team,Time,Gap,Grid
1,2,Oscar Piastri,Prema Racing,1:39.854,-,1
2,3,Guanyu Zhou,UNI-Virtuosi,1:40.075,+0.221,2
3,11,Richard Verschoor,MP Motorsport,1:40.259,+0.405,3
4,5,Dan Ticktum,Carlin,1:40.408,+0.554,4
5,10,Théo Pourchaire,ART Grand Prix,1:40.419,+0.565,5
6,4,Felipe Drugovich,UNI-Virtuosi,1:40.451,+0.597,6
7,1,Robert Shwartzman,Prema Racing,1:40.452,+0.598,7
8,16,Roy Nissany,DAMS,1:40.486,+0.632,8
9,8,Jüri Vips,Hitech Grand Prix,1:40.491,+0.637,9
10,9,Christian Lundgaard,ART Grand Prix,1:40.556,+0.702,10
11,7,Liam Lawson,Hitech Grand Prix,1:40.679,+0.825,11
12,6,Jehan Daruvala,Carlin,1:40.683,+0.829,12
13,12,Lirim Zendeli,MP Motorsport,1:40.772,+0.918,13
14,17,Marcus Armstrong,DAMS,1:40.895,+1.041,14
15,21,Ralph Boschung,Campos Racing,1:40.915,+1.061,15
16,20,Matteo Nannini,Campos Racing,1:41.050,+1.196,16
17,24,Bent Viscaal,Trident,1:41.185,+1.331,17
18,14,David Beckmann,Charouz Racing System,1:41.295,+1.441,18
19,22,Jack Aitken,HWA Racelab,1:41.306,+1.452,19
20,15,Guilherme Samaia,Charouz Racing System,1:41.758,+1.904,20
21,25,Marino Sato,Trident,1:41.790,+1.936,21
22,23,Alessio Deledda,HWA Racelab,1:43.734,+3.880,22
