Pos.,No.,Driver,Team,Time,Gap,Grid
1,7,Liam Lawson,Hitech Grand Prix,1:54.217,,1
2,8,Jüri Vips,Hitech Grand Prix,1:54.355,+0.138,2
3,2,Oscar Piastri,Prema Racing,1:54.508,+0.291,3
4,10,Théo Pourchaire,ART Grand Prix,1:54.639,+0.422,4
5,5,Dan Ticktum,Carlin,1:54.830,+0.422,5
6,17,Marcus Armstrong,DAMS,1:54.914,+0.697,6
7,21,Ralph Boschung,Campos Racing,1:54.962,+0.745,7
8,3,Guanyu Zhou,UNI-Virtuosi,1:55.112,+0.895,8
9,6,Jehan Daruvala,Carlin,1:55.122,+0.905,9
10,1,Robert Shwartzman,Prema Racing,1:55.161,+0.944,10
11,4,Felipe Drugovich,UNI-Virtuosi,1:55.173,+0.956,11
12,9,Christian Lundgaard,ART Grand Prix,1:55.245,+1.028,12
13,14,David Beckmann,Charouz Racing System,1:55.336,+1.119,13
14,22,Jack Aitken,HWA Racelab,1:55.651,+1.434,14
15,24,Bent Viscaal,Trident,1:55.658,+1.441,15
16,11,Richard Verschoor,MP Motorsport,1:55.988,+1.771,16
17,20,Matteo Nannini,Campos Racing,1:56.463,+2.246,17
18,12,Lirim Zendeli,MP Motorsport,1:56.579,+2.362,18
19,25,Marino Sato,Trident,1:57.539,+3.322,19
20,15,Guilherme Samaia,Charouz Racing System,1:57.793,+3.576,20
21,23,Alessio Deledda,HWA Racelab,1:58.264,+4.047,21
—,16,Roy Nissany,DAMS,No time set,N/A,22
