Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Sebastian Vettel,Red Bull-Renault,1:39.626,1:38.530,1:38.086,1
2,4,Lewis Hamilton,McLaren-Mercedes,1:39.169,1:38.616,1:38.410,2
3,18,Pastor Maldonado,Williams-Renault,1:38.825,1:38.570,1:38.475,3
4,10,Romain Grosjean,Lotus-Renault,1:39.530,1:38.489,1:38.505,4
5,9,Kimi Räikkönen,Lotus-Renault,1:39.464,1:38.531,1:38.513,5
6,8,Nico Rosberg,Mercedes,1:39.061,1:38.504,1:38.623,6
7,14,Kamui Kobayashi,Sauber-Ferrari,1:39.651,1:38.703,1:38.741,7
8,12,Nico Hülkenberg,Force India-Mercedes,1:39.009,1:38.689,1:38.752,8
9,3,Jenson Button,McLaren-Mercedes,1:39.622,1:38.563,1:38.801,9
10,11,Paul di Resta,Force India-Mercedes,1:38.858,1:38.519,1:38.992,10
11,5,Fernando Alonso,Ferrari,1:39.409,1:38.707,,11
12,7,Michael Schumacher,Mercedes,1:39.447,1:38.770,,12
13,6,Felipe Massa,Ferrari,1:39.388,1:38.780,,13
14,19,Bruno Senna,Williams-Renault,1:39.449,1:39.207,,14
15,15,Sergio Pérez,Sauber-Ferrari,1:39.353,1:39.358,,15
16,20,Heikki Kovalainen,Caterham-Renault,1:40.087,1:40.295,,16
17,16,Daniel Ricciardo,Toro Rosso-Ferrari,1:39.924,1:40.358,,17
18,17,Jean-Éric Vergne,Toro Rosso-Ferrari,1:40.203,,,18
19,2,Mark Webber,Red Bull-Renault,1:40.395,,,19
20,21,Vitaly Petrov,Caterham-Renault,1:40.457,,,20
21,22,Pedro de la Rosa,HRT-Cosworth,1:42.171,,,21
22,23,Narain Karthikeyan,HRT-Cosworth,1:42.527,,,22
23,25,Charles Pic,Marussia-Cosworth,1:42.675,,,23
DNS,24,Timo Glock,Marussia-Cosworth,no time,,,—
