Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,18,Pastor Maldonado,Williams-Renault,1:23.380,1:22.105,1:22.285,1
2,5,Fernando Alonso,Ferrari,1:23.276,1:22.862,1:22.302,2
3,10,Romain Grosjean,Lotus-Renault,1:23.248,1:22.667,1:22.424,3
4,9,Kimi Räikkönen,Lotus-Renault,1:23.406,1:22.856,1:22.487,4
5,15,Sergio Pérez,Sauber-Ferrari,1:24.261,1:22.773,1:22.533,5
6,8,Nico Rosberg,Mercedes,1:23.370,1:22.882,1:23.005,6
7,1,Sebastian Vettel,Red Bull-Renault,1:23.850,1:22.884,No Time,7
8,7,Michael Schumacher,Mercedes,1:23.757,1:22.904,No Time,8
9,14,Kamui Kobayashi,Sauber-Ferrari,1:23.386,1:22.897,No Time,9
10,3,Jenson Button,McLaren-Mercedes,1:23.510,1:22.944,N/A,10
11,2,Mark Webber,Red Bull-Renault,1:23.592,1:22.977,N/A,11
12,11,Paul di Resta,Force India-Mercedes,1:23.852,1:23.125,N/A,12
13,12,Nico Hülkenberg,Force India-Mercedes,1:23.720,1:23.177,N/A,13
14,17,Jean-Éric Vergne,Toro Rosso-Ferrari,1:24.362,1:23.265,N/A,14
15,16,Daniel Ricciardo,Toro Rosso-Ferrari,1:23.906,1:23.442,N/A,15
16,6,Felipe Massa,Ferrari,1:23.886,1:23.444,N/A,16
17,19,Bruno Senna,Williams-Renault,1:24.981,N/A,N/A,17
18,21,Vitaly Petrov,Caterham-Renault,1:25.277,N/A,N/A,18
19,20,Heikki Kovalainen,Caterham-Renault,1:25.507,N/A,N/A,19
20,25,Charles Pic,Marussia-Cosworth,1:26.582,N/A,N/A,20
21,24,Timo Glock,Marussia-Cosworth,1:27.032,N/A,N/A,21
22,22,Pedro de la Rosa,HRT-Cosworth,1:27.555,N/A,N/A,22
EX,4,Lewis Hamilton,McLaren-Mercedes,1:22.583,1:22.465,1:21.707,24
—,23,Narain Karthikeyan,HRT-Cosworth,1:31.122,N/A,N/A,23
