Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,4,Lewis Hamilton,McLaren-Mercedes,1:24.211,1:24.394,1:24.010,1
2,3,Jenson Button,McLaren-Mercedes,1:24.672,1:24.255,1:24.133,2
3,6,Felipe Massa,Ferrari,1:24.882,1:24.505,1:24.247,3
4,11,Paul di Resta,Force India-Mercedes,1:24.875,1:24.345,1:24.304,9
5,7,Michael Schumacher,Mercedes,1:25.302,1:24.675,1:24.540,4
6,1,Sebastian Vettel,Red Bull-Renault,1:25.011,1:24.687,1:24.802,5
7,8,Nico Rosberg,Mercedes,1:24.689,1:24.515,1:24.833,6
8,9,Kimi Räikkönen,Lotus-Renault,1:25.151,1:24.742,1:24.855,7
9,14,Kamui Kobayashi,Sauber-Ferrari,1:25.317,1:24.683,1:25.109,8
10,5,Fernando Alonso,Ferrari,1:24.175,1:24.242,1:25.678,10
11,2,Mark Webber,Red Bull-Renault,1:25.556,1:24.809,,11
12,18,Pastor Maldonado,Williams-Renault,1:25.103,1:24.820,,22
13,15,Sergio Pérez,Sauber-Ferrari,1:25.300,1:24.901,,12
14,19,Bruno Senna,Williams-Renault,1:25.135,1:25.042,,13
15,16,Daniel Ricciardo,Toro Rosso-Ferrari,1:25.728,1:25.312,,14
16,10,Jérôme d'Ambrosio,Lotus-Renault,1:25.834,1:25.408,,15
17,17,Jean-Éric Vergne,Toro Rosso-Ferrari,1:25.649,1:25.441,,16
18,20,Heikki Kovalainen,Caterham-Renault,1:26.382,,,17
19,21,Vitaly Petrov,Caterham-Renault,1:26.887,,,18
20,24,Timo Glock,Marussia-Cosworth,1:27.039,,,19
21,25,Charles Pic,Marussia-Cosworth,1:27.073,,,20
22,23,Narain Karthikeyan,HRT-Cosworth,1:27.441,,,21
23,22,Pedro de la Rosa,HRT-Cosworth,1:27.629,,,23
DNQ,12,Nico Hülkenberg,Force India-Mercedes,no time,,,24
