Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,5,Fernando Alonso,Ferrari,1:46.515,1:56.921,1:51.746,1
2,2,Mark Webber,Red Bull-Renault,1:47.276,1:55.898,1:51.793,2
3,7,Michael Schumacher,Mercedes,1:46.571,1:55.799,1:52.020,3
4,1,Sebastian Vettel,Red Bull-Renault,1:46.279,1:56.931,1:52.199,4
5,6,Felipe Massa,Ferrari,1:47.401,1:56.388,1:53.065,5
6,9,Kimi Räikkönen,Lotus-Renault,1:47.309,1:56.469,1:53.290,6
7,18,Pastor Maldonado,Williams-Renault,1:46.449,1:56.802,1:53.539,7
8,4,Lewis Hamilton,McLaren-Mercedes,1:47.433,1:54.897,1:53.543,8
9,12,Nico Hülkenberg,Force India-Mercedes,1:46.334,1:55.556,1:54.382,14
10,10,Romain Grosjean,Lotus-Renault,1:47.043,1:56.388,no time,9
11,11,Paul di Resta,Force India-Mercedes,1:47.582,1:57.009,,10
12,14,Kamui Kobayashi,Sauber-Ferrari,1:46.649,1:57.071,,17
13,8,Nico Rosberg,Mercedes,1:47.724,1:57.108,,11
14,16,Daniel Ricciardo,Toro Rosso-Ferrari,1:47.266,1:57.132,,12
15,19,Bruno Senna,Williams-Renault,1:47.105,1:57.426,,13
16,17,Jean-Éric Vergne,Toro Rosso-Ferrari,1:47.705,1:57.719,,23
17,15,Sergio Pérez,Sauber-Ferrari,1:46.494,1:57.895,,15
18,3,Jenson Button,McLaren-Mercedes,1:48.044,,,16
19,21,Vitaly Petrov,Caterham-Renault,1:49.027,,,18
20,20,Heikki Kovalainen,Caterham-Renault,1:49.477,,,19
21,24,Timo Glock,Marussia-Cosworth,1:51.618,,,20
22,22,Pedro de la Rosa,HRT-Cosworth,1:52.742,,,21
23,23,Narain Karthikeyan,HRT-Cosworth,1:53.040,,,22
24,25,Charles Pic,Marussia-Cosworth,1:54.143,,,24
