Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Sebastian Vettel,Red Bull-Renault,1:36.558,1:35.796,1:35.657,1
2,4,Lewis Hamilton,McLaren-Mercedes,1:37.058,1:36.795,1:35.766,2
3,2,Mark Webber,Red Bull-Renault,1:37.215,1:36.298,1:36.174,3
4,10,Romain Grosjean,Lotus-Renault,1:37.486,1:36.906,1:36.587,8
5,9,Kimi Räikkönen,Lotus-Renault,1:38.051,1:37.404,1:36.708,4
6,7,Michael Schumacher,Mercedes,1:37.927,1:37.102,1:36.794,5
7,6,Felipe Massa,Ferrari,1:37.667,1:36.549,1:36.937,11
8,12,Nico Hülkenberg,Force India-Mercedes,1:37.756,1:37.066,1:37.141,6
9,5,Fernando Alonso,Ferrari,1:37.968,1:37.123,1:37.300,7
10,18,Pastor Maldonado,Williams-Renault,1:37.537,1:37.011,1:37.842,9
11,19,Bruno Senna,Williams-Renault,1:37.520,1:37.604,,10
12,3,Jenson Button,McLaren-Mercedes,1:37.565,1:37.616,,12
13,11,Paul di Resta,Force India-Mercedes,1:38.104,1:37.665,,13
14,17,Jean-Éric Vergne,Toro Rosso-Ferrari,1:38.434,1:37.879,,14
15,15,Sergio Pérez,Sauber-Ferrari,1:38.500,1:38.206,,15
16,14,Kamui Kobayashi,Sauber-Ferrari,1:38.418,1:38.437,,16
17,8,Nico Rosberg,Mercedes,1:38.862,1:38.501,,17
18,16,Daniel Ricciardo,Toro Rosso-Ferrari,1:39.114,,,18
19,24,Timo Glock,Marussia-Cosworth,1:40.056,,,19
20,25,Charles Pic,Marussia-Cosworth,1:40.664,,,20
21,21,Vitaly Petrov,Caterham-Renault,1:40.809,,,21
22,20,Heikki Kovalainen,Caterham-Renault,1:41.166,,,22
23,22,Pedro de la Rosa,HRT-Cosworth,1:42.011,,,23
24,23,Narain Karthikeyan,HRT-Cosworth,1:42.740,,,24
