Team,No.,Driver,Rounds
ART Grand Prix,1,Jack Aitken,All
ART Grand Prix,2,Nirei Fukuzumi,All
ART Grand Prix,3,George Russell,All
ART Grand Prix,4,Anthoine Hubert,All
Arden International,5,Niko Kari,All
Arden International,6,Leonardo Pulcini,All
Arden International,7,Steijn Schothorst,All
Trident,9,Kevin Jörg,All
Trident,10,Giuliano Alesi,All
Trident,11,Ryan Tveter,All
Trident,12,Dorian Boccolacci,All
DAMS,14,Santino Ferrucci,1–3
DAMS,14,Matthieu Vaxivière,4–5
DAMS,14,Dan Ticktum,6–8
DAMS,15,Tatiana Calderón,All
DAMS,16,Bruno Baptista,All
Jenzer Motorsport,22,Alessio Lorandi,All
Jenzer Motorsport,23,Juan Manuel Correa,5–8
Jenzer Motorsport,24,Arjun Maini,All
Campos Racing,26,Julien Falchero,All
Campos Racing,27,Raoul Hyman,All
Campos Racing,28,Marcos Siebert,All
