Team,No.,Driver,Rounds
Prema Racing,1,Robert Shwartzman,All
Prema Racing,2,Oscar Piastri,All
UNI-Virtuosi Racing,3,Guanyu Zhou,All
UNI-Virtuosi Racing,4,Felipe Drugovich,All
Carlin,5,Dan Ticktum,All
Carlin,6,Jehan Daruvala,All
Hitech Grand Prix,7,Liam Lawson,All
Hitech Grand Prix,8,Jüri Vips,All
ART Grand Prix,9,Christian Lundgaard,All
ART Grand Prix,10,Théo Pourchaire,All
MP Motorsport,11,Richard Verschoor,1–6
MP Motorsport,11,Jack Doohan,7–8
MP Motorsport,12,Lirim Zendeli,1–6
MP Motorsport,12,Clément Novalak,7–8
Charouz Racing System,14,David Beckmann,1–4
Charouz Racing System,14,Enzo Fittipaldi,5–7
Charouz Racing System,14,Richard Verschoor,8
Charouz Racing System,15,Guilherme Samaia,All
DAMS,16,Roy Nissany,All
DAMS,17,Marcus Armstrong,All
Campos Racing,20,Gianluca Petecof,1–2
Campos Racing,20,Matteo Nannini,3–4
Campos Racing,20,David Beckmann,5–6
Campos Racing,20,Olli Caldwell,7–8
Campos Racing,21,Ralph Boschung,All
HWA Racelab,22,Matteo Nannini,1
HWA Racelab,22,Jack Aitken,2–4
HWA Racelab,22,Jake Hughes,"5–6, 8"
HWA Racelab,22,Logan Sargeant,7
HWA Racelab,23,Alessio Deledda,All
Trident,24,Bent Viscaal,All
Trident,25,Marino Sato,All
