Pos.,No.,Driver,Team,Time,Grid
1,7,Jolyon Palmer,DAMS,1:38.865,1
2,10,Stoffel Vandoorne,ART Grand Prix,1:38.895,2
3,11,Daniel Abt,Hilmer Motorsport,1:39.073,3
4,8,Stéphane Richelmi,DAMS,1:39.081,4
5,18,Rio Haryanto,EQ8 Caterham Racing,1:39.228,5
6,6,Stefano Coletti,Racing Engineering,1:39.271,6
7,1,Mitch Evans,RT Russian Time,1:39.274,7
8,3,Felipe Nasr,Carlin,1:39.301,11
9,5,Raffaele Marciello,Racing Engineering,1:39.449,8
10,26,Arthur Pic,Campos Racing,1:39.462,9
11,21,Jon Lancaster,MP Motorsport,1:39.507,10
12,4,Julián Leal,Carlin,1:39.588,12
13,23,Johnny Cecotto Jr.,Trident,1:39.615,13
14,17,André Negrão,Arden International,1:39.647,14
15,19,Alexander Rossi,EQ8 Caterham Racing,1:39.651,15
16,27,Kimiya Sato,Campos Racing,1:39.749,16
17,16,René Binder,Arden International,1:39.788,17
18,25,Conor Daly,Venezuela GP Lazarus,1:39.848,18
19,12,Facu Regalia,Hilmer Motorsport,1:39.881,19
20,24,Nathanaël Berthon,Venezuela GP Lazarus,1:39.928,20
21,15,Simon Trummer,Rapax,1:40.059,21
22,20,Daniël de Jong,MP Motorsport,1:40.060,22
23,9,Takuya Izawa,ART Grand Prix,1:40.401,23
24,14,Adrian Quaife-Hobbs,Rapax,1:40.408,24
25,22,Axcil Jefferies,Trident,1:40.619,25
26,2,Artem Markelov,RT Russian Time,1:41.172,26
