Pos.,No.,Driver,Team,Time,Grid
1,8,Stéphane Richelmi,DAMS,1:29.293,1
2,7,Jolyon Palmer,DAMS,1:29.421,2
3,6,Stefano Coletti,Racing Engineering,1:29.514,3
4,5,Raffaele Marciello,Racing Engineering,1:29.650,4
5,3,Felipe Nasr,Carlin,1:29.698,5
6,1,Mitch Evans,RT Russian Time,1:29.703,6
7,4,Julián Leal,Carlin,1:29.841,7
8,19,Alexander Rossi,EQ8 Caterham Racing,1:29.893,8
9,21,Tio Ellinas,MP Motorsport,1:29.902,9
10,10,Stoffel Vandoorne,ART Grand Prix,1:29.963,10
11,18,Rio Haryanto,EQ8 Caterham Racing,1:29.983,11
12,17,Tom Dillmann,Arden International,1:30.289,12
13,26,Arthur Pic,Campos Racing,1:30.300,13
14,11,Daniel Abt,Hilmer Motorsport,1:30.412,14
15,24,Nathanaël Berthon,Venezuela GP Lazarus,1:30.470,15
16,23,Johnny Cecotto Jr.,Trident,1:30:496,16
17,27,Kimiya Sato,Campos Racing,1:30.510,17
18,16,René Binder,Arden International,1:30.553,18
19,20,Daniël de Jong,MP Motorsport,1:30.617,19
20,22,Sergio Canamasas,Trident,1:30.773,20
21,12,Facu Regalia,Hilmer Motorsport,1:30.790,21
22,14,Adrian Quaife-Hobbs,Rapax,1:30:887,22
23,9,Takuya Izawa,ART Grand Prix,1:30.903,23
24,15,Simon Trummer,Rapax,1:30.923,24
25,2,Artem Markelov,RT Russian Time,1:31.336,25
26,25,Conor Daly,Venezuela GP Lazarus,1:31.558,26
