Pos.,No.,Driver,Team,Time,Grid
1,3,Felipe Nasr,Carlin,1:28.436,1
2,19,Tom Dillmann,EQ8 Caterham Racing,1:28.618,2
3,26,Arthur Pic,Campos Racing,1:28.643,3
4,27,Kimiya Sato,Campos Racing,1:28.658,4
5,23,Johnny Cecotto Jr.,Trident,1:28.709,8
6,10,Stoffel Vandoorne,ART Grand Prix,1:28.740,5
7,7,Jolyon Palmer,DAMS,1:28.791,6
8,5,Raffaele Marciello,Racing Engineering,1:28.932,7
9,21,Marco Sørensen,MP Motorsport,1:28.935,9
10,8,Stéphane Richelmi,DAMS,1:28.941,10
11,1,Mitch Evans,RT Russian Time,1:28.969,11
12,4,Julián Leal,Carlin,1:29.008,12
13,15,Simon Trummer,Rapax,1:29.060,13
14,11,Daniel Abt,Hilmer Motorsport,1:29.125,14
15,6,Stefano Coletti,Racing Engineering,1:29.139,15
16,22,Sergio Canamasas,Trident,1:29.142,16
17,20,Daniël de Jong,MP Motorsport,1:29.143,17
18,24,Nathanaël Berthon,Venezuela GP Lazarus,1:29.217,18
19,25,Conor Daly,Venezuela GP Lazarus,1:29.233,19
20,18,Rio Haryanto,EQ8 Caterham Racing,1:29.277,20
21,17,André Negrão,Arden International,1:29.292,21
22,14,Adrian Quaife-Hobbs,Rapax,1:29.462,22
23,12,Jon Lancaster,Hilmer Motorsport,1:29.680,23
24,16,René Binder,Arden International,1:29.895,24
25,2,Artem Markelov,RT Russian Time,1:30.078,25
26,9,Takuya Izawa,ART Grand Prix,1:30.427,26
