Team,No.,Driver name,Rounds
Rapax[3],1,Fabio Leimer[5],All
Rapax[3],2,Julián Leal[6][a],All
Barwa Addax Team[3],3,Charles Pic[7],All
Barwa Addax Team[3],4,Giedo van der Garde[7],All
LotusART[3][8],5,Jules Bianchi[9],All
LotusART[3][8],6,Esteban Gutiérrez[10],All
Racing Engineering[3],7,Dani Clos[11],All
Racing Engineering[3],8,Christian Vietoris[11],"1, 4–9"
Racing Engineering[3],Álvaro Parente[12],2–3,
iSport International[3],9,Sam Bird[13],All
iSport International[3],10,Marcus Ericsson[13],All
DAMS[3],11,Romain Grosjean[14],All
DAMS[3],12,Pål Varhaug[14],All
Arden International[3],14,Josef Král[15],All
Arden International[3],15,Jolyon Palmer[15],All
Super Nova Racing[3],16,Fairuz Fauzy[16],All
Super Nova Racing[3],17,Luca Filippi[17],1–5
Super Nova Racing[3],Adam Carroll[18],6–9,
Scuderia Coloni[3],18,Michael Herck[19],All
Scuderia Coloni[3],19,Davide Rigon[20],1
Scuderia Coloni[3],Kevin Ceccon[21],2–5,
Scuderia Coloni[3],Luca Filippi[18],6–9,
Trident Racing[3],20,Rodolfo González[22],All
Trident Racing[3],21,Stefano Coletti[23],1–8
Trident Racing[3],Stéphane Richelmi[24],9,
Ocean Racing Technology[3],22,Kevin Mirocha[25],1–7
Ocean Racing Technology[3],Brendon Hartley[26],8–9,
Ocean Racing Technology[3],23,Johnny Cecotto Jr.[25],All
Carlin[3],24,Max Chilton[27],All
Carlin[3],25,Mikhail Aleshin[27],"1–2, 7–8"
Carlin[3],Oliver Turvey[28],3,
Carlin[3],Álvaro Parente[29],"4–6, 9",
Team AirAsia(1–3)Caterham Team AirAsia(4–9)[3],26,Luiz Razia[30],All
Team AirAsia(1–3)Caterham Team AirAsia(4–9)[3],27,Davide Valsecchi[30],All
