Pos.,No.,Driver,Team,Time,Grid
1,27,Rio Haryanto,Carlin,2:17.535,1
2,9,James Calado,Lotus GP,2:17.643,2
3,10,Esteban Gutiérrez,Lotus GP,2:17.736,3
4,7,Marcus Ericsson,iSport International,2:18.058,4
5,8,Jolyon Palmer,iSport International,2:18.368,5
6,3,Davide Valsecchi,DAMS,2:18.397,6
7,18,Sergio Canamasas,Venezuela GP Lazarus,2:18.582,7
8,5,Fabio Leimer,Racing Engineering,2:18.603,8
9,4,Felipe Nasr,DAMS,2:18.801,9
10,12,Giedo van der Garde,Caterham Racing,2:18.930,10
11,14,Stefano Coletti,Scuderia Coloni,2:19.328,11
12,6,Nathanaël Berthon,Racing Engineering,2:19.721,12
13,26,Max Chilton,Carlin Motorsport,2:19.803,13
14,15,Fabio Onidi,Scuderia Coloni,2:20.100,14
15,2,Josef Král,Barwa Addax Team,2:20.224,15
16,24,Victor Guerin,Ocean Racing Technology,2:20.289,16
17,17,Julián Leal,Trident Racing,2:20.455,17
18,20,Ricardo Teixeira,Rapax,2:20.484,18
19,23,Luiz Razia,Arden International,2:20.712,19
20,11,Rodolfo González,Caterham Racing,2:20.752,20
21,25,Nigel Melker,Ocean Racing Technology,2:20.888,21
22,21,Daniël de Jong,Rapax,2:20.921,22
23,16,Stéphane Richelmi,Trident Racing,2:21.070,23
24,22,Simon Trummer,Arden International,2:21.790,24
25,1,Johnny Cecotto Jr.,Barwa Addax Team,2:21.942,25
26,19,René Binder,Venezuela GP Lazarus,2:22.795,26
