Pos.,No.,Driver,Team,Time,Grid
1,5,Fabio Leimer,Racing Engineering,2:01.889,1
2,1,Johnny Cecotto Jr.,Barwa Addax Team,2:02.804,2
3,8,Jolyon Palmer,iSport International,2:02.872,3
4,14,Stefano Coletti,Scuderia Coloni,2:03.004,23
5,10,Esteban Gutiérrez,Lotus GP,2:03.258,4
6,9,James Calado,Lotus GP,2:03.274,5
7,27,Rio Haryanto,Carlin,2:03.398,6
8,26,Max Chilton,Carlin,2:03.432,7
9,23,Luiz Razia,Arden International,2:03.553,8
10,12,Giedo van der Garde,Caterham Racing,2:03.565,20
11,4,Felipe Nasr,DAMS,2:03.581,24
12,3,Davide Valsecchi,DAMS,2:03.600,26
13,25,Nigel Melker,Ocean Racing Technology,2:03.699,9
14,2,Josef Král,Barwa Addax Team,2:04.029,10
15,6,Nathanaël Berthon,Racing Engineering,2:04.240,11
16,18,Fabrizio Crestani,Venezuela GP Lazarus,2:04.280,12
17,11,Rodolfo González,Caterham Racing,2:04.430,13
18,7,Marcus Ericsson,iSport International,2:04.767,25
19,21,Daniël de Jong,Rapax,2:04.782,14
20,24,Víctor Guerin,Ocean Racing Technology,2:05.040,15
21,17,Julián Leal,Trident Racing,2:05.218,16
22,15,Fabio Onidi,Scuderia Coloni,2:05.350,17
23,22,Simon Trummer,Arden International,2:05.537,18
24,16,Stéphane Richelmi,Trident Racing,2:05.677,19
25,20,Ricardo Teixeira,Rapax,2:07.231,21
26,19,Giancarlo Serenelli,Venezuela GP Lazarus,2:09.161,22
