Pos.,No.,Driver,Team,Time,Grid
1,26,Max Chilton,Marussia Carlin,1:28.980,1
2,9,James Calado,Lotus GP,1:29.003,4
3,3,Davide Valsecchi,DAMS,1:29.034,2
4,8,Jolyon Palmer,iSport International,1:29.093,3
5,23,Luiz Razia,Arden International,1:29.177,5
6,12,Giedo van der Garde,Caterham Racing,1:29.202,6
7,10,Esteban Gutiérrez,Lotus GP,1:29.248,7
8,5,Fabio Leimer,Racing Engineering,1:29.334,8
9,7,Marcus Ericsson,iSport International,1:29.345,9
10,1,Johnny Cecotto Jr.,Barwa Addax Team,1:29.367,10
11,2,Josef Král,Barwa Addax Team,1:29.472,11
12,6,Nathanaël Berthon,Racing Engineering,1:29.496,12
13,4,Felipe Nasr,DAMS,1:29.574,13
14,15,Fabio Onidi,Scuderia Coloni,1:29.637,14
15,18,Sergio Canamasas,Venezuela GP Lazarus,1:29.666,15
16,25,Nigel Melker,Ocean Racing Technology,1:29.717,16
17,27,Rio Haryanto,Marussia Carlin,1:29.786,17
18,24,Victor Guerin,Ocean Racing Technology,1:29.786,18
19,21,Stefano Coletti,Rapax,1:29.906,19
20,16,Stéphane Richelmi,Trident Racing,1:30.027,20
21,11,Rodolfo González,Caterham Racing,1:30.201,21
22,17,Julián Leal,Trident Racing,1:30.202,22
23,20,Ricardo Teixeira,Rapax,1:30.475,23
24,22,Simon Trummer,Arden International,1:30.655,24
25,21,Daniël de Jong,Rapax,1:30.930,25
26,19,Giancarlo Serenelli,Venezuela GP Lazarus,1:33.093,26
