Pos.,No.,Driver,Team,Time,Grid
1,3,Davide Valsecchi,DAMS,1:41.200,1
2,10,Esteban Gutiérrez,Lotus GP,1:41.479,2
3,4,Felipe Nasr,DAMS,1:41.785,3
4,5,Fabio Leimer,Racing Engineering,1:41.798,4
5,1,Johnny Cecotto Jr.,Barwa Addax Team,1:41.858,5
6,16,Stéphane Richelmi,Trident Racing,1:41.862,6
7,7,Marcus Ericsson,iSport International,1:41.933,17
8,9,James Calado,Lotus GP,1:41.939,7
9,23,Luiz Razia,Arden International,1:41.962,8
10,26,Max Chilton,Carlin,1:41.980,9
11,27,Rio Haryanto,Carlin,1:42.097,10
12,12,Giedo van der Garde,Caterham Racing,1:42.139,11
13,8,Jolyon Palmer,iSport International,1:42.156,12
14,2,Dani Clos,Barwa Addax Team,1:42.158,13
15,21,Tom Dillmann,Rapax,1:42.190,14
16,15,Fabio Onidi,Scuderia Coloni,1:42.374,15
17,11,Rodolfo González,Caterham Racing,1:42.409,16
18,6,Nathanaël Berthon,Racing Engineering,1:42.427,18
19,17,Julián Leal,Trident Racing,1:42.456,19
20,18,Fabrizio Crestani,Venezuela GP Lazarus,1:42.706,20
21,24,Brendon Hartley,Ocean Racing Technology,1:42.782,26
22,14,Stefano Coletti,Scuderia Coloni,1:42.853,21
23,25,Nigel Melker,Ocean Racing Technology,1:42.895,22
24,22,Simon Trummer,Arden International,1:43.014,23
25,19,Giancarlo Serenelli,Venezuela GP Lazarus,1:43.907,24
26,20,Ricardo Teixeira,Rapax,1:44.078,25
