Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,1:35.439,1:33.708,1:33.185,1
2,44,Lewis Hamilton,Mercedes,1:35.323,1:33.872,1:33.464,2
3,3,Daniel Ricciardo,Red Bull Racing-Renault,1:36.220,1:34.592,1:34.051,13
4,77,Valtteri Bottas,Williams-Mercedes,1:34.934,1:34.842,1:34.247,3
5,11,Sergio Pérez,Force India-Mercedes,1:34.998,1:34.747,1:34.346,4
6,7,Kimi Räikkönen,Ferrari,1:35.234,1:34.925,1:34.368,5
7,22,Jenson Button,McLaren-Mercedes,1:35.699,1:34.714,1:34.387,6
8,19,Felipe Massa,Williams-Mercedes,1:35.085,1:34.842,1:34.511,7
9,20,Kevin Magnussen,McLaren-Mercedes,1:35.288,1:34.904,1:34.712,8
10,14,Fernando Alonso,Ferrari,1:35.251,1:34.723,1:34.992,9
11,1,Sebastian Vettel,Red Bull Racing-Renault,1:35.549,1:34.985,N/A,10
12,27,Nico Hülkenberg,Force India-Mercedes,1:34.874,1:35.116,N/A,11
13,26,Daniil Kvyat,Toro Rosso-Renault,1:35.395,1:35.145,N/A,12
14,25,Jean-Éric Vergne,Toro Rosso-Renault,1:35.815,1:35.286,N/A,14
15,21,Esteban Gutiérrez,Sauber-Ferrari,1:36.567,1:35.891,N/A,15
16,8,Romain Grosjean,Lotus-Renault,1:36.654,1:35.908,N/A,16
17,13,Pastor Maldonado,Lotus-Renault,1:36.663,N/A,N/A,17
18,99,Adrian Sutil,Sauber-Ferrari,1:36.840,N/A,N/A,22
19,10,Kamui Kobayashi,Caterham-Renault,1:37.085,N/A,N/A,18
20,17,Jules Bianchi,Marussia-Ferrari,1:37.310,N/A,N/A,19
21,9,Marcus Ericsson,Caterham-Renault,1:37.875,N/A,N/A,20
22,4,Max Chilton,Marussia-Ferrari,1:37.913,N/A,N/A,21
