Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:38.759,1:38.338,1:38.513,1
2,6,Nico Rosberg,Mercedes,1:39.076,1:38.606,1:38.713,2
3,77,Valtteri Bottas,Williams-Mercedes,1:39.125,1:38.971,1:38.920,3
4,22,Jenson Button,McLaren-Mercedes,1:39.560,1:39.381,1:39.121,4
5,26,Daniil Kvyat,Toro Rosso-Renault,1:40.074,1:39.296,1:39.277,5
6,20,Kevin Magnussen,McLaren-Mercedes,1:39.735,1:39.022,1:39.629,11
7,3,Daniel Ricciardo,Red Bull Racing-Renault,1:40.519,1:39.666,1:39.635,6
8,14,Fernando Alonso,Ferrari,1:40.255,1:39.786,1:39.709,7
9,7,Kimi Räikkönen,Ferrari,1:40.098,1:39.838,1:39.771,8
10,25,Jean-Éric Vergne,Toro Rosso-Renault,1:40.354,1:39.929,1:40.020,9
11,1,Sebastian Vettel,Red Bull Racing-Renault,1:40.382,1:40.052,,10
12,27,Nico Hülkenberg,Force India-Mercedes,1:40.273,1:40.058,,17
13,11,Sergio Pérez,Force India-Mercedes,1:40.723,1:40.163,,12
14,21,Esteban Gutiérrez,Sauber-Ferrari,1:41.159,1:40.536,,13
15,99,Adrian Sutil,Sauber-Ferrari,1:40.766,1:40.984,,14
16,8,Romain Grosjean,Lotus-Renault,1:42.526,1:41.397,,15
17,9,Marcus Ericsson,Caterham-Renault,1:42.648,,,16
18,19,Felipe Massa,Williams-Mercedes,1:43.064,,,18
19,10,Kamui Kobayashi,Caterham-Renault,1:43.166,,,19
20,13,Pastor Maldonado,Lotus-Renault,1:43.205,,,21
21,4,Max Chilton,Marussia-Ferrari,1:43.649,,,20
