Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,1:38.303,1:36.290,1:36.067,1
2,44,Lewis Hamilton,Mercedes,1:37.196,1:37.287,1:36.443,2
3,77,Valtteri Bottas,Williams-Mercedes,1:38.249,1:37.499,1:36.906,3
4,19,Felipe Massa,Williams-Mercedes,1:37.877,1:37.347,1:37.205,4
5,3,Daniel Ricciardo,Red Bull Racing-Renault,1:38.814,1:37.873,1:37.244,5
6,14,Fernando Alonso,Ferrari,1:38.349,1:38.010,1:37.610,6
7,22,Jenson Button,McLaren-Mercedes,1:38.574,1:38.024,1:37.655,12
8,20,Kevin Magnussen,McLaren-Mercedes,1:38.557,1:38.047,1:37.706,7
9,7,Kimi Räikkönen,Ferrari,1:38.669,1:38.263,1:37.804,8
10,99,Adrian Sutil,Sauber-Ferrari,1:38.855,1:38.378,1:38.810,9
11,13,Pastor Maldonado,Lotus-Renault,1:38.608,1:38.467,N/A,10
12,11,Sergio Pérez,Force India-Mercedes,1:39.200,1:38.554,N/A,11
13,27,Nico Hülkenberg,Force India-Mercedes,1:38.931,1:38.598,N/A,13
14,26,Daniil Kvyat,Toro Rosso-Renault,1:38.936,1:38.699,N/A,17
15,25,Jean-Éric Vergne,Toro Rosso-Renault,1:39.250,N/A,N/A,14
16,21,Esteban Gutiérrez,Sauber-Ferrari,1:39.555,N/A,N/A,15
17,1,Sebastian Vettel,Red Bull Racing-Renault,1:39.621,N/A,N/A,PL
18,8,Romain Grosjean,Lotus-Renault,1:39.679,N/A,N/A,16
