Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,1:10.347,1:10.303,1:10.023,1
2,44,Lewis Hamilton,Mercedes,1:10.457,1:10.712,1:10.056,2
3,19,Felipe Massa,Williams-Mercedes,1:10.602,1:10.343,1:10.247,3
4,77,Valtteri Bottas,Williams-Mercedes,1:10.832,1:10.421,1:10.305,4
5,22,Jenson Button,McLaren-Mercedes,1:11.097,1:11.127,1:10.930,5
6,1,Sebastian Vettel,Red Bull Racing-Renault,1:11.880,1:11.129,1:10.938,6
7,20,Kevin Magnussen,McLaren-Mercedes,1:11.134,1:11.211,1:10.969,7
8,14,Fernando Alonso,Ferrari,1:11.558,1:11.215,1:10.977,8
9,3,Daniel Ricciardo,Red Bull Racing-Renault,1:11.593,1:11.208,1:11.075,9
10,7,Kimi Räikkönen,Ferrari,1:11.193,1:11.188,1:11.099,10
11,21,Esteban Gutiérrez,Sauber-Ferrari,1:11.520,1:11.591,N/A,11
12,27,Nico Hülkenberg,Force India-Mercedes,1:11.848,1:11.976,N/A,12
13,99,Adrian Sutil,Sauber-Ferrari,1:11.943,1:12.099,N/A,13
14,26,Daniil Kvyat,Toro Rosso-Renault,1:11.423,No Time,N/A,17
15,8,Romain Grosjean,Lotus-Renault,1:12.037,N/A,N/A,14
16,25,Jean-Éric Vergne,Toro Rosso-Renault,1:12.040,N/A,N/A,15
17,11,Sergio Pérez,Force India-Mercedes,1:12.076,N/A,N/A,18
18,13,Pastor Maldonado,Lotus-Renault,1:12.233,N/A,N/A,16
