Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,1:16.471,1:15.289,1:14.874,1
2,44,Lewis Hamilton,Mercedes,1:15.750,1:15.054,1:14.953,2
3,1,Sebastian Vettel,Red Bull Racing-Renault,1:17.470,1:16.109,1:15.548,3
4,77,Valtteri Bottas,Williams-Mercedes,1:16.772,1:15.806,1:15.550,4
5,19,Felipe Massa,Williams-Mercedes,1:16.666,1:15.773,1:15.578,5
6,3,Daniel Ricciardo,Red Bull Racing-Renault,1:17.113,1:15.897,1:15.589,6
7,14,Fernando Alonso,Ferrari,1:17.010,1:16.131,1:15.814,7
8,25,Jean-Éric Vergne,Toro Rosso-Renault,1:17.178,1:16.255,1:16.162,8
9,22,Jenson Button,McLaren-Mercedes,1:16.631,1:16.214,1:16.182,9
10,7,Kimi Räikkönen,Ferrari,1:17.013,1:16.245,1:16.214,10
11,27,Nico Hülkenberg,Force India-Mercedes,1:16.897,1:16.300,N/A,11
12,20,Kevin Magnussen,McLaren-Mercedes,1:16.446,1:16.310,N/A,12
13,11,Sergio Pérez,Force India-Mercedes,1:18.235,1:16.472,N/A,13
14,8,Romain Grosjean,Lotus-Renault,1:17.732,1:16.687,N/A,14
15,26,Daniil Kvyat,Toro Rosso-Renault,1:16.938,1:16.713,N/A,15
16,99,Adrian Sutil,Sauber-Ferrari,1:17.519,1:17.314,N/A,16
17,13,Pastor Maldonado,Lotus-Renault,1:18.328,N/A,N/A,17
18,4,Max Chilton,Marussia-Ferrari,1:18.348,N/A,N/A,18
19,17,Jules Bianchi,Marussia-Ferrari,1:18.359,N/A,N/A,19
20,10,Kamui Kobayashi,Caterham-Renault,1:19.278,N/A,N/A,21
21,9,Marcus Ericsson,Caterham-Renault,1:19.820,N/A,N/A,20
NC,21,Esteban Gutiérrez,Sauber-Ferrari,No Time,N/A,N/A,PL
