Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:57.202,1:59.041,1:59.431,1
2,1,Sebastian Vettel,Red Bull Racing-Renault,1:57.654,1:59.399,1:59.486,2
3,6,Nico Rosberg,Mercedes,1:57.183,1:59.445,2:00.050,3
4,14,Fernando Alonso,Ferrari,1:58.889,2:01.356,2:00.175,4
5,3,Daniel Ricciardo,Red Bull Racing-Renault,1:58.913,2:00.147,2:00.541,5
6,7,Kimi Räikkönen,Ferrari,1:59.257,2:01.532,2:01.218,6
7,27,Nico Hülkenberg,Force India-Mercedes,1:58.883,2:00.839,2:01.712,7
8,20,Kevin Magnussen,McLaren-Mercedes,2:00.358,2:02.094,2:02.213,8
9,25,Jean-Éric Vergne,Toro Rosso-Renault,2:01.689,2:02.096,2:03.078,9
10,22,Jenson Button,McLaren-Mercedes,2:00.889,2:01.810,2:04.053,10
11,26,Daniil Kvyat,Toro Rosso-Renault,2:01.175,2:02.351,,11
12,21,Esteban Gutiérrez,Sauber-Ferrari,2:01.134,2:02.369,,12
13,19,Felipe Massa,Williams-Mercedes,2:00.047,2:02.460,,13
14,11,Sergio Pérez,Force India-Mercedes,2:00.076,2:02.511,,14
15,77,Valtteri Bottas,Williams-Mercedes,1:59.709,2:02.756,,18
16,8,Romain Grosjean,Lotus-Renault,2:00.202,2:02.885,,15
17,13,Pastor Maldonado,Lotus-Renault,2:02.074,,,16
18,99,Adrian Sutil,Sauber-Ferrari,2:02.131,,,17
19,17,Jules Bianchi,Marussia-Ferrari,2:02.702,,,19
20,10,Kamui Kobayashi,Caterham-Renault,2:03.595,,,20
21,4,Max Chilton,Marussia-Ferrari,2:04.388,,,21
22,9,Marcus Ericsson,Caterham-Renault,2:04.407,,,22
