Pos.,No.,Driver,Team,Time,Grid
1,2,Sergey Sirotkin,ART Grand Prix,1:19.186,1
2,3,Norman Nato,Racing Engineering,1:19.894,2
3,4,Jordan King,Racing Engineering,1:19.691,3
4,7,Mitch Evans,Pertamina Campos Racing,1:19.962,4
5,22,Oliver Rowland,MP Motorsport,1:19.852,5
6,5,Alex Lynn,DAMS,1:20.014,6
7,20,Antonio Giovinazzi,Prema Racing,1:19.972,7
8,9,Raffaele Marciello,Russian Time,1:20.601,8
9,6,Nicholas Latifi,DAMS,1:20.182,9
10,16,Luca Ghiotto,Trident,1:20.630,10
11,12,Arthur Pic,Rapax,1:20.360,11
12,1,Nobuharu Matsushita,ART Grand Prix,1:20.744,12
13,18,Sergio Canamasas,Carlin,1:20.600,PL
14,19,Marvin Kirchhöfer,Carlin,1:21.016,13
15,8,Sean Gelael,Pertamina Campos Racing,1:20.877,14
16,21,Pierre Gasly,Prema Racing,1:21.381,PL
17,10,Artem Markelov,Russian Time,1:22.160,15
18,11,Gustav Malja,Rapax,1:21.965,16
19,14,Philo Paz Armand,Trident,1:22.707,17
20,23,Daniël de Jong,MP Motorsport,1:21.978,18
21,24,Nabil Jeffri,Arden International,1:22.722,PL
22,25,Jimmy Eriksson,Arden International,1:22.029,19
