Pos.,No.,Driver,Team,Time,Grid
1,21,Pierre Gasly,Prema Racing,1:31.199,1
EX,20,Antonio Giovinazzi,Prema Racing,1:31.253,21
2,10,Artem Markelov,Russian Time,1:31.548,2
3,12,Arthur Pic,Rapax,1:31.617,3
4,7,Mitch Evans,Campos Racing,1:31.666,4
5,4,Jordan King,Racing Engineering,1:31.710,5
6,5,Alex Lynn,DAMS,1:31.775,6
EX,24,Nabil Jeffri,Arden International,1:31.795,22
7,2,Sergey Sirotkin,ART Grand Prix,1:31.816,7
8,3,Norman Nato,Racing Engineering,1:31.846,8
9,15,Luca Ghiotto,Trident,1:31.855,9
10,22,Oliver Rowland,MP Motorsport,1:31.864,10
11,9,Raffaele Marciello,Russian Time,1:31.986,11
12,1,Nobuharu Matsushita,ART Grand Prix,1:32.037,12
13,19,Marvin Kirchhöfer,Carlin,1:32.172,13
14,6,Nicholas Latifi,DAMS,1:32.192,14
15,18,Sergio Canamasas,Carlin,1:32.196,15
16,11,Gustav Malja,Rapax,1:32.215,16
17,8,Sean Gelael,Campos Racing,1:32.481,17
18,23,Daniel de Jong,MP Motorsport,1:33.071,18
19,14,Philo Paz Armand,Trident,1:33.269,19
20,25,Jimmy Eriksson,Arden International,1:33.929,20
