Pos.,No.,Driver,Team,Time,Grid
1,3,Norman Nato,Racing Engineering,1:38.216,1
2,21,Pierre Gasly,Prema Racing,1:38.441,2
3,6,Nicholas Latifi,DAMS,1:38.797,3
4,9,Raffaele Marciello,Russian Time,1:38.842,4
5,2,Sergey Sirotkin,ART Grand Prix,1:38.904,PL1
6,20,Antonio Giovinazzi,Prema Racing,1:38.912,5
7,7,Mitch Evans,Campos Racing,1:39.084,6
8,4,Jordan King,Racing Engineering,1:39.123,7
9,12,Arthur Pic,Rapax,1:39.160,8
10,22,Oliver Rowland,MP Motorsport,1:39.192,9
11,10,Artem Markelov,Russian Time,1:39.370,10
12,1,Nobuharu Matsushita,ART Grand Prix,1:39.572,11
13,19,Marvin Kirchhöfer,Carlin,1:39.668,12
14,18,Sergio Canamasas,Carlin,1:39.749,16
15,8,Sean Gelael,Campos Racing,1:39.750,13
16,11,Gustav Malja,Rapax,1:39.798,14
17,5,Alex Lynn,DAMS,1:39.928,15
18,23,Daniël de Jong,MP Motorsport,1:40.459,17
19,25,Jimmy Eriksson,Arden International,1:40.838,18
20,24,Nabil Jeffri,Arden International,1:41.160,19
21,14,Philo Paz Armand,Trident,1:41.385,20
–,15,Luca Ghiotto,Trident,no time,21
