Pos.,No.,Driver,Team,Time,Grid
1,21,Pierre Gasly,Prema Racing,1:47.476,1
2,2,Sergey Sirotkin,ART Grand Prix,1:47.804,2
3,10,Artem Markelov,Russian Time,1:47.901,3
4,1,Nobuharu Matsushita,ART Grand Prix,1:47.997,4
5,22,Oliver Rowland,MP Motorsport,1:48.130,5
6,20,Antonio Giovinazzi,Prema Racing,1:48.288,6
7,3,Norman Nato,Racing Engineering,1:48.307,7
8,9,Raffaele Marciello,Russian Time,1:48.368,8
9,5,Alex Lynn,DAMS,1:48.524,9
10,7,Mitch Evans,Campos Racing,1:48.559,10
11,4,Jordan King,Racing Engineering,1:48.712,11
12,15,Luca Ghiotto,Trident,1:48.830,12
13,12,Johnny Cecotto Jr.,Rapax,1:48.976,13
14,6,Nicholas Latifi,DAMS,1:49.075,14
15,11,Gustav Malja,Rapax,1:49.206,15
16,18,Sergio Canamasas,Carlin,1:49.779,16
17,14,Philo Paz Armand,Trident,1:49.950,17
18,24,Nabil Jeffri,Arden International,1:50.135,18
19,8,Sean Gelael,Campos Racing,1:50.233,19
20,19,Louis Delétraz,Carlin,1:50.234,20
21,23,Daniël de Jong,MP Motorsport,1:50.276,21
22,25,Emil Bernstorff,Arden International,1:50.470,22
