Pos.,No.,Driver,Team,Time,Grid
1,20,Antonio Giovinazzi,Prema Racing,1:51.752,1
2,1,Nobuharu Matsushita,ART Grand Prix,1:51.841,2
3,2,Sergey Sirotkin,ART Grand Prix,1:52.532,3
4,9,Raffaele Marciello,Russian Time,1:52.555,4
5,15,Luca Ghiotto,Trident,1:52.691,5
6,22,Oliver Rowland,MP Motorsport,1:52.739,6
7,19,Marvin Kirchhöfer,Carlin,1:52.756,7
8,21,Pierre Gasly,Prema Racing,1:52.760,8
9,3,Norman Nato,Racing Engineering,1:52.929,9
10,18,Sergio Canamasas,Carlin,1:52.962,10
11,4,Jordan King,Racing Engineering,1:52.962,11
12,10,Artem Markelov,Russian Time,1:53.040,12
13,5,Alex Lynn,DAMS,1:53.092,13
14,6,Nicholas Latifi,DAMS,1:53.226,14
15,7,Mitch Evans,Campos Racing,1:53.401,15
16,12,Arthur Pic,Rapax,1:53.702,16
17,23,Daniël de Jong,MP Motorsport,1:54.000,17
18,25,Jimmy Eriksson,Arden International,1:54.034,18
19,11,Gustav Malja,Rapax,1:54.213,19
20,8,Sean Gelael,Campos Racing,1:54.717,20
21,24,Nabil Jeffri,Arden International,1:55.333,21
22,14,Philo Paz Armand,Trident,1:57.692,22
