Pos.,No.,Driver,Team,Time,Grid
1,21,Pierre Gasly,Prema Racing,1:27.807,1
2,3,Norman Nato,Racing Engineering,1:28.271,2
3,5,Alex Lynn,DAMS,1:28.458,3
4,6,Nicholas Latifi,DAMS,1:28.563,4
5,2,Sergey Sirotkin,ART Grand Prix,1:28.655,5
6,11,Gustav Malja,Rapax,1:28.695,6
7,22,Oliver Rowland,MP Motorsport,1:28.807,7
8,1,Nobuharu Matsushita,ART Grand Prix,1:29.128,11
9,10,Artem Markelov,Russian Time,1:29.129,8
10,15,Luca Ghiotto,Trident,1:29.143,9
11,20,Antonio Giovinazzi,Prema Racing,1:29.163,10
12,9,Raffaele Marciello,Russian Time,1:29.274,12
13,4,Jordan King,Racing Engineering,1:29.322,13
14,12,Arthur Pic,Rapax,1:29.385,14
15,18,Sergio Canamasas,Carlin,1:29.397,15
16,19,Marvin Kirchhöfer,Carlin,1:29.440,16
17,23,Daniël de Jong,MP Motorsport,1:29.464,17
18,7,Mitch Evans,Pertamina Campos Racing,1:29.478,18
19,25,Jimmy Eriksson,Arden International,1:29.942,19
20,24,Nabil Jeffri,Arden International,1:30.254,20
21,8,Sean Gelael,Pertamina Campos Racing,1:30.304,22
22,14,Philo Paz Armand,Trident,1:30.609,21
