Pos.,No.,Driver,Team,Time,Grid
1,21,Pierre Gasly,Prema Racing,1:25.612,1
2,2,Sergey Sirotkin,ART Grand Prix,1:26.182,2
3,20,Antonio Giovinazzi,Prema Racing,1:26.438,3
4,1,Nobuharu Matsushita,ART Grand Prix,1:26.483,4
5,3,Norman Nato,Racing Engineering,1:26.521,5
6,15,Luca Ghiotto,Trident,1:26.557,6
7,12,Arthur Pic,Rapax,1:26.633,7
8,9,Raffaele Marciello,Russian Time,1:26.657,8
9,4,Jordan King,Racing Engineering,1:26.667,9
10,19,Marvin Kirchhöfer,Carlin,1:26.696,10
11,5,Alex Lynn,DAMS,1:26.795,11
12,6,Nicholas Latifi,DAMS,1:26.819,12
13,11,Gustav Malja,Rapax,1:26.911,13
14,7,Mitch Evans,Campos Racing,1:26.966,14
15,10,Artem Markelov,Russian Time,1:27.068,15
16,18,Sergio Canamasas,Carlin,1:27.078,16
17,22,Oliver Rowland,MP Motorsport,1:27.176,17
18,23,Daniël de Jong,MP Motorsport,1:27.207,18
19,8,Sean Gelael,Campos Racing,1:27.246,19
20,25,Jimmy Eriksson,Arden International,1:27.908,20
21,14,Nabil Jeffri,Arden International,1:28.119,21
22,14,Philo Paz Armand,Trident,1:28.415,22
