Pos.,No.,Driver,Team,Time,Grid
1,20,Antonio Giovinazzi,Prema Racing,1:56.607,1
2,21,Pierre Gasly,Prema Racing,1:56.768,2
3,11,Gustav Malja,Rapax,1:57.124,3
4,3,Norman Nato,Racing Engineering,1:57.211,4
5,4,Jordan King,Racing Engineering,1:57.411,5
6,12,Arthur Pic,Rapax,1:57.462,6
7,9,Raffaele Marciello,Russian Time,1:57.512,7
8,5,Alex Lynn,DAMS,1:57.658,8
9,1,Nobuharu Matsushita,ART Grand Prix,1:57.665,9
10,19,Marvin Kirchhöfer,Carlin,1:57.750,10
11,6,Nicholas Latifi,DAMS,1:57.768,11
12,10,Artem Markelov,Russian Time,1:57.906,12
13,2,Sergey Sirotkin,ART Grand Prix,1:57.927,13
14,15,Luca Ghiotto,Trident,1:57.964,14
15,22,Oliver Rowland,MP Motorsport,1:57.987,15
16,18,Sergio Canamasas,Carlin,1:58.165,16
17,8,Sean Gelael,Campos Racing,1:58.252,17
18,23,Daniel de Jong,MP Motorsport,1:58.342,18
19,7,Mitch Evans,Campos Racing,1:58.386,19
20,25,Jimmy Eriksson,Arden International,1:58.674,20
21,24,Nabil Jeffri,Arden International,1:59.292,22
22,14,Philo Paz Armand,Trident,1:59.577,21
