Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:29.047,1:27.819,1:27.319,1
2,77,Valtteri Bottas,Mercedes,1:29.332,1:28.543,1:27.651,6
3,5,Sebastian Vettel,Ferrari,1:29.352,1:28.225,1:27.791,2
4,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:29.475,1:28.935,1:28.306,3
5,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:29.181,1:28.747,1:28.332,4
6,7,Kimi Räikkönen,Ferrari,1:29.163,1:29.079,1:28.498,10
7,31,Esteban Ocon,Force India-Mercedes,1:30.115,1:29.199,1:29.111,5
8,11,Sergio Pérez,Force India-Mercedes,1:29.696,1:29.343,1:29.260,7
9,19,Felipe Massa,Williams-Mercedes,1:30.352,1:29.687,1:29.480,8
10,14,Fernando Alonso,McLaren-Honda,1:30.525,1:29.749,1:30.687,20
11,2,Stoffel Vandoorne,McLaren-Honda,1:30.654,1:29.778,,9
12,27,Nico Hülkenberg,Renault,1:30.252,1:29.879,,11
13,20,Kevin Magnussen,Haas-Ferrari,1:30.774,1:29.972,,12
14,30,Jolyon Palmer,Renault,1:30.516,1:30.022,,18
15,55,Carlos Sainz Jr.,Toro Rosso,1:30.565,1:30.413,,19
16,8,Romain Grosjean,Haas-Ferrari,1:30.849,,,13
17,10,Pierre Gasly,Toro Rosso,1:31.317,,,14
18,18,Lance Stroll,Williams-Mercedes,1:31.409,,,15
19,9,Marcus Ericsson,Sauber-Ferrari,1:31.597,,,16
20,94,Pascal Wehrlein,Sauber-Ferrari,1:31.885,,,17
