Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:33.333,1:32.406,1:31.678,1
2,5,Sebastian Vettel,Ferrari,1:33.078,1:32.391,1:31.864,2
3,77,Valtteri Bottas,Mercedes,1:33.684,1:32.552,1:31.865,3
4,7,Kimi Räikkönen,Ferrari,1:33.341,1:32.181,1:32.140,4
5,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:34.041,1:33.546,1:33.033,5
6,19,Felipe Massa,Williams-Mercedes,1:34.205,1:33.759,1:33.507,6
7,27,Nico Hülkenberg,Renault,1:34.453,1:33.636,1:33.580,7
8,11,Sergio Pérez,Force India-Mercedes,1:34.657,1:33.920,1:33.706,8
9,26,Daniil Kvyat,Toro Rosso,1:34.440,1:34.034,1:33.719,9
10,18,Lance Stroll,Williams-Mercedes,1:33.986,1:34.090,1:34.220,10
11,55,Carlos Sainz Jr.,Toro Rosso,1:34.567,1:34.150,,11
12,20,Kevin Magnussen,Haas-Ferrari,1:34.942,1:34.164,,12
13,14,Fernando Alonso,McLaren-Honda,1:34.499,1:34.372,,13
14,9,Marcus Ericsson,Sauber-Ferrari,1:34.892,1:35.046,,14
15,36,Antonio Giovinazzi,Sauber-Ferrari,1:34.963,No time,,18
16,2,Stoffel Vandoorne,McLaren-Honda,1:35.023,,,15
17,8,Romain Grosjean,Haas-Ferrari,1:35.223,,,19
18,30,Jolyon Palmer,Renault,1:35.279,,,20
19,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:35.433,,,16
20,31,Esteban Ocon,Force India-Mercedes,1:35.496,,,17
