Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,5,Sebastian Vettel,Ferrari,1:34.493,1:34.038,1:33.194,1
2,7,Kimi Räikkönen,Ferrari,1:34.953,1:33.663,1:33.253,2
3,77,Valtteri Bottas,Mercedes,1:34.041,1:33.264,1:33.289,3
4,44,Lewis Hamilton,Mercedes,1:34.409,1:33.760,1:33.767,4
5,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:35.560,1:35.483,1:34.905,5
6,19,Felipe Massa,Williams-Mercedes,1:35.828,1:35.049,1:35.110,6
7,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:35.301,1:35.221,1:35.161,7
8,27,Nico Hülkenberg,Renault,1:35.507,1:35.328,1:35.285,8
9,11,Sergio Pérez,Force India-Mercedes,1:36.185,1:35.513,1:35.337,9
10,31,Esteban Ocon,Force India-Mercedes,1:35.372,1:35.729,1:35.430,10
11,55,Carlos Sainz Jr.,Toro Rosso,1:35.827,1:35.948,,14
12,18,Lance Stroll,Williams-Mercedes,1:36.279,1:35.964,,11
13,26,Daniil Kvyat,Toro Rosso,1:35.984,1:35.968,,12
14,20,Kevin Magnussen,Haas-Ferrari,1:36.408,1:36.017,,13
15,14,Fernando Alonso,McLaren-Honda,1:36.353,1:36.660,,15
16,30,Jolyon Palmer,Renault,1:36.462,,,16
17,2,Stoffel Vandoorne,McLaren-Honda,1:37.070,,,20
18,94,Pascal Wehrlein,Sauber-Ferrari,1:37.332,,,17
19,9,Marcus Ericsson,Sauber-Ferrari,1:37.507,,,18
20,8,Romain Grosjean,Haas-Ferrari,1:37.620,,,19
