Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,5,Sebastian Vettel,Ferrari,1:17.665,1:16.870,1:16.488,1
2,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:17.630,1:16.524,1:16.574,2
3,44,Lewis Hamilton,Mercedes,1:17.518,1:17.035,1:16.934,3
4,77,Valtteri Bottas,Mercedes,1:17.578,1:17.161,1:16.958,4
5,7,Kimi Räikkönen,Ferrari,1:18.148,1:17.534,1:17.238,5
6,31,Esteban Ocon,Force India-Mercedes,1:18.336,1:17.827,1:17.437,6
7,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:18.208,1:17.631,1:17.447,16
8,27,Nico Hülkenberg,Renault,1:18.322,1:17.792,1:17.466,7
9,55,Carlos Sainz Jr.,Renault,1:18.405,1:17.753,1:17.794,8
10,11,Sergio Pérez,Force India-Mercedes,1:18.020,1:17.868,1:17.807,9
11,19,Felipe Massa,Williams-Mercedes,1:18.570,1:18.099,,10
12,18,Lance Stroll,Williams-Mercedes,1:18.902,1:19.159,,11
13,28,Brendon Hartley,Toro Rosso,1:18.683,No time,,17
14,14,Fernando Alonso,McLaren-Honda,1:17.710,No time,,18
15,2,Stoffel Vandoorne,McLaren-Honda,1:18.578,No time,,19
16,9,Marcus Ericsson,Sauber-Ferrari,1:19.176,,,12
17,94,Pascal Wehrlein,Sauber-Ferrari,1:19.333,,,13
18,20,Kevin Magnussen,Haas-Ferrari,1:19.443,,,14
19,8,Romain Grosjean,Haas-Ferrari,1:19.473,,,15
—,10,Pierre Gasly,Toro Rosso,No time,,,20
