Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:14.823,1:14.817,1:14.411,1
2,11,Sergio Pérez,Red Bull Racing-Honda,1:15.395,1:14.716,1:14.446,2
3,33,Max Verstappen,Red Bull Racing-Honda,1:15.109,1:14.884,1:14.498,3
4,16,Charles Leclerc,Ferrari,1:15.413,1:14.808,1:14.740,4
5,10,Pierre Gasly,AlphaTauri-Honda,1:15.548,1:14.927,1:14.790,5
6,3,Daniel Ricciardo,McLaren-Mercedes,1:15.669,1:15.033,1:14.826,6
7,4,Lando Norris,McLaren-Mercedes,1:15.009,1:14.718,1:14.875,7
8,77,Valtteri Bottas,Mercedes,1:14.672,1:14.905,1:14.898,8
9,31,Esteban Ocon,Alpine-Renault,1:15.385,1:15.117,1:15.210,9
10,18,Lance Stroll,Aston Martin-Mercedes,1:15.522,1:15.138,No time,10
11,55,Carlos Sainz Jr.,Ferrari,1:15.406,1:15.199,N/A,11
12,63,George Russell,Williams-Mercedes,1:15.826,1:15.261,N/A,12
13,5,Sebastian Vettel,Aston Martin-Mercedes,1:15.459,1:15.394,N/A,13
14,6,Nicholas Latifi,Williams-Mercedes,1:15.653,1:15.593,N/A,14
15,14,Fernando Alonso,Alpine-Renault,1:15.832,1:15.593,N/A,15
16,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:15.974,N/A,N/A,16
17,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:16.122,N/A,N/A,17
18,47,Mick Schumacher,Haas-Ferrari,1:16.279,N/A,N/A,18
19,9,Nikita Mazepin,Haas-Ferrari,1:16.797,N/A,N/A,19
—,22,Yuki Tsunoda,AlphaTauri-Honda,No time,N/A,N/A,20
