Pos.,No.,Driver,Team,Grid,Q1,Q2,Q3,Grid
1,33,Max Verstappen,Red Bull Racing-Honda,1:04.489,1:04.433,1:03.841,1
2,77,Valtteri Bottas,Mercedes,1:04.537,1:04.443,1:04.035,5
3,44,Lewis Hamilton,Mercedes,1:04.672,1:04.512,1:04.067,2
4,4,Lando Norris,McLaren-Mercedes,1:04.584,1:04.298,1:04.120,3
5,11,Sergio Pérez,Red Bull Racing-Honda,1:04.638,1:04.197,1:04.168,4
6,10,Pierre Gasly,AlphaTauri-Honda,1:04.765,1:04.429,1:04.236,6
7,16,Charles Leclerc,Ferrari,1:04.745,1:04.646,1:04.472,7
8,22,Yuki Tsunoda,AlphaTauri-Honda,1:04.608,1:04.631,1:04.514,11
9,14,Fernando Alonso,Alpine-Renault,1:04.971,1:04.582,1:04.574,8
10,18,Lance Stroll,Aston Martin-Mercedes,1:04.821,1:04.663,1:04.708,9
11,63,George Russell,Williams-Mercedes,1:05.033,1:04.671,N/A,10
12,55,Carlos Sainz Jr.,Ferrari,1:04.859,1:04.800,N/A,12
13,3,Daniel Ricciardo,McLaren-Mercedes,1:05.142,1:04.808,N/A,13
14,5,Sebastian Vettel,Aston Martin-Mercedes,1:05.051,1:04.875,N/A,14
15,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:05.092,1:04.913,N/A,15
16,6,Nicholas Latifi,Williams-Mercedes,1:05.175,N/A,N/A,16
17,31,Esteban Ocon,Alpine-Renault,1:05.217,N/A,N/A,17
18,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:05.429,N/A,N/A,18
19,47,Mick Schumacher,Haas-Ferrari,1:06.041,N/A,N/A,19
20,9,Nikita Mazepin,Haas-Ferrari,1:06.192,N/A,N/A,20
