Pos.,No.,Driver,Team,Time,Grid
1,1,Dennis Hauger,Prema Racing,1:19.726,1
2,7,Frederik Vesti,ART Grand Prix,1:19.754,2
3,8,Aleksandr Smolyar,ART Grand Prix,1:19.801,3
4,18,Caio Collet,MP Motorsport,1:19.809,4
5,10,Jak Crawford,Hitech Grand Prix,1:19.817,5
6,5,Clément Novalak,Trident,1:19.829,6
7,4,Jack Doohan,Trident,1:19.887,7
8,3,Olli Caldwell,Prema Racing,1:19.900,8
9,2,Arthur Leclerc,Prema Racing,1:19.975,9
10,17,Victor Martins,MP Motorsport,1:20.003,10
11,14,Matteo Nannini,HWA Racelab,1:20.070,11
12,29,Logan Sargeant,Charouz Racing System,1:20.101,12
13,26,Calan Williams,Jenzer Motorsport,1:20.112,13
14,6,David Schumacher,Trident,1:20.148,14
15,30,Enzo Fittipaldi,Charouz Racing System,1:20.188,15
16,24,Kaylen Frederick,Carlin Buzz Racing,1:20.235,16
17,15,Oliver Rasmussen,HWA Racelab,1:20.326,17
18,25,Jonny Edgar,Carlin Buzz Racing,1:20.444,18
19,11,Ayumu Iwasa,Hitech Grand Prix,1:20.463,19
20,21,Lorenzo Colombo,Campos Racing,1:20.634,20
21,19,Tijmen van der Helm,MP Motorsport,1:20.672,21
22,12,Roman Staněk,Hitech Grand Prix,1:20.676,25
23,22,Amaury Cordeel,Campos Racing,1:20.680,22
24,9,Juan Manuel Correa,ART Grand Prix,1:20.690,23
25,31,Reshad de Gerus,Charouz Racing System,1:20.762,24
26,16,Rafael Villagómez,HWA Racelab,1:20.943,26
27,27,Johnathan Hoggard,Jenzer Motorsport,1:21.078,27
28,20,László Tóth,Campos Racing,1:21.292,28
29,28,Filip Ugran,Jenzer Motorsport,1:21.451,29
30,23,Ido Cohen,Carlin Buzz Racing,1:21.536,30
