Pos.,No.,Driver,Team,Time,Grid
1,1,Dennis Hauger,Prema Racing,1:24.580,1
2,6,David Schumacher,Trident,1:24.715,2
3,17,Victor Martins,MP Motorsport,1:24.885,3
4,4,Jack Doohan,Trident,1:24.939,4
5,5,Clément Novalak,Trident,1:24.961,5
6,18,Caio Collet,MP Motorsport,1:25.031,6
7,10,Jak Crawford,Hitech Grand Prix,1:25.274,7
8,8,Aleksandr Smolyar,ART Grand Prix,1:25.345,8
9,11,Ayumu Iwasa,Hitech Grand Prix,1:25.403,9
10,2,Arthur Leclerc,Prema Racing,1:25.422,10
11,29,Logan Sargeant,Charouz Racing System,1:25.556,11
12,22,Amaury Cordeel,Campos Racing,1:25.567,12
13,16,Rafael Villagómez,HWA Racelab,1:25.574,PL
14,7,Frederik Vesti,ART Grand Prix,1:25.612,13
15,21,Lorenzo Colombo,Campos Racing,1:25.612,14
16,3,Olli Caldwell,Prema Racing,1:25.752,15
17,23,Ido Cohen,Carlin Buzz Racing,1:25.752,16
18,15,Oliver Rasmussen,HWA Racelab,1:25.786,17
19,25,Jonny Edgar,Carlin Buzz Racing,1:25.799,18
20,12,Roman Staněk,Hitech Grand Prix,1:25.886,19
21,26,Calan Williams,Jenzer Motorsport,1:25.892,20
22,28,Filip Ugran,Jenzer Motorsport,1:26.047,21
23,27,Johnathan Hoggard,Jenzer Motorsport,1:26.077,22
24,14,Matteo Nannini,HWA Racelab,1:26.157,23
25,19,Tijmen van der Helm,MP Motorsport,1:26.261,24
26,24,Kaylen Frederick,Carlin Buzz Racing,1:26.292,25
27,9,Juan Manuel Correa,ART Grand Prix,1:26.409,26
28,20,László Tóth,Campos Racing,1:26.638,27
29,30,Hunter Yeany,Charouz Racing System,1:27.507,28
30,31,Zdeněk Chovanec,Charouz Racing System,1:27.726,29
