Pos.,No.,Driver,Team,Time,Grid
1,4,Jack Doohan,Trident,1:54.514,1
2,5,Clément Novalak,Trident,1:54.648,2
3,27,Johnathan Hoggard,Jenzer Motorsport,1:54.687,3
4,7,Frederik Vesti,ART Grand Prix,1:54.712,4
5,9,Juan Manuel Correa,ART Grand Prix,1:54.755,5
6,21,Lorenzo Colombo,Campos Racing,1:54.759,6
7,8,Alexander Smolyar,ART Grand Prix,1:54.765,7
8,18,Caio Collet,MP Motorsport,1:54.772,8
9,1,Dennis Hauger,Prema Racing,1:54.826,9
10,10,Jak Crawford,Hitech Grand Prix,1:54.853,10
11,29,Logan Sargeant,Charouz Racing System,1:54.859,11
12,17,Victor Martins,MP Motorsport,1:54.959,12
13,12,Roman Staněk,Hitech Grand Prix,1:54.977,13
14,2,Arthur Leclerc,Prema Racing,1:55.089,14
15,3,Olli Caldwell,Prema Racing,1:55.151,15
16,15,Oliver Rasmussen,HWA Racelab,1:55.166,16
17,6,David Schumacher,Trident,1:55.228,17
18,11,Ayumu Iwasa,Hitech Grand Prix,1:55.302,18
19,14,Matteo Nannini,HWA Racelab,1:55.419,19
20,22,Amaury Cordeel,Campos Racing,1:55.466,20
21,26,Calan Williams,Jenzer Motorsport,1:55.503,21
22,24,Kaylen Frederick,Carlin Buzz Racing,1:55.680,22
23,16,Rafael Villagómez,HWA Racelab,1:56.007,23
24,28,Filip Ugran,Jenzer Motorsport,1:56.263,24
25,19,Tijmen van der Helm,MP Motorsport,1:56.525,25
26,30,Ayrton Simmons,Charouz Racing System,1:56.527,26
27,20,László Tóth,Campos Racing,1:56.600,27
28,23,Ido Cohen,Carlin Buzz Racing,1:57.029,28
29,31,Zdeněk Chovanec,Charouz Racing System,1:57.164,29
30,25,Jonny Edgar,Carlin Buzz Racing,,30
