Pos.,No.,Driver,Team,Time,Grid
1,2,Arthur Leclerc,Prema Racing,1:33.164,1
2,1,Dennis Hauger,Prema Racing,1:33.253,2
3,4,Jack Doohan,Trident,1:33.260,3
4,6,David Schumacher,Trident,1:33.284,4
5,5,Clément Novalak,Trident,1:33.331,5
6,8,Aleksandr Smolyar,ART Grand Prix,1:33.429,6
7,7,Frederik Vesti,ART Grand Prix,1:33.449,7
8,29,Logan Sargeant,Charouz Racing System,1:33.632,8
9,3,Olli Caldwell,Prema Racing,1:33.704,9
10,11,Ayumu Iwasa,Hitech Grand Prix,1:33.777,10
11,21,Lorenzo Colombo,Campos Racing,1:33.805,11
12,25,Jonny Edgar,Carlin Buzz Racing,1:33.878,12
13,14,Matteo Nannini,HWA Racelab,1:34.004,13
14,9,Juan Manuel Correa,ART Grand Prix,1:34.022,14
15,12,Roman Staněk,Hitech Grand Prix,1:34.025,15
16,26,Calan Williams,Jenzer Motorsport,1:34.037,16
17,30,Enzo Fittipaldi,Charouz Racing System,1:34.071,17
18,24,Jake Hughes,Carlin Buzz Racing,1:34.113,18
19,22,Amaury Cordeel,Campos Racing,1:34.124,19
20,19,Tijmen van der Helm,MP Motorsport,1:34.242,20
21,15,Oliver Rasmussen,HWA Racelab,1:34.250,21
22,10,Jak Crawford,Hitech Grand Prix,1:34.256,22
23,27,Johnathan Hoggard,Jenzer Motorsport,1:34.385,23
24,17,Victor Martins,MP Motorsport,1:34.518,24
25,18,Caio Collet,MP Motorsport,1:34.585,25
26,23,Ido Cohen,Carlin Buzz Racing,1:34.614,26
27,31,Reshad de Gerus,Charouz Racing System,1:34.787,27
28,16,Rafael Villagómez,HWA Racelab,1:34.887,28
29,20,László Tóth,Campos Racing,1:34.916,29
30,28,Filip Ugran,Jenzer Motorsport,1:35.068,30
