Pos.,No.,Driver,Team,Time,Grid
1,7,Frederik Vesti,ART Grand Prix,1:50.882,1
2,1,Dennis Hauger,Prema Racing,1:51.063,2
3,17,Victor Martins,MP Motorsport,1:51.122,3
4,4,Jack Doohan,Trident,1:51.165,4
5,18,Caio Collet,MP Motorsport,1:51.187,5
6,5,Clément Novalak,Trident,1:51.213,6
7,8,Aleksandr Smolyar,ART Grand Prix,1:51.269,7
8,11,Ayumu Iwasa,Hitech Grand Prix,1:51.484,8
9,9,Juan Manuel Correa,ART Grand Prix,1:51.503,9
10,29,Logan Sargeant,Charouz Racing System,1:51.525,10
11,6,David Schumacher,Trident,1:51.550,11
12,26,Calan Williams,Jenzer Motorsport,1:51.575,12
13,14,Matteo Nannini,HWA Racelab,1:51.613,13
14,3,Olli Caldwell,Prema Racing,1:51.648,14
15,19,Tijmen van der Helm,MP Motorsport,1:51.669,15
16,10,Jak Crawford,Hitech Grand Prix,1:51.718,16
17,12,Roman Staněk,Hitech Grand Prix,1:51.772,17
18,21,Lorenzo Colombo,Campos Racing,1:51.809,18
19,22,Amaury Cordeel,Campos Racing,1:51.929,19
20,27,Johnathan Hoggard,Jenzer Motorsport,1:52.051,20
21,30,Enzo Fittipaldi,Charouz Racing System,1:52.334,21
22,24,Kaylen Frederick,Carlin Buzz Racing,1:52.453,22
23,25,Jonny Edgar,Carlin Buzz Racing,1:52.453,23
24,15,Oliver Rasmussen,HWA Racelab,1:52.475,24
25,20,Pierre-Louis Chovet,Campos Racing,1:52.564,25
26,31,Reshad de Gerus,Charouz Racing System,1:52.795,26
27,28,Filip Ugran,Jenzer Motorsport,1:52.823,27
28,16,Rafael Villagómez,HWA Racelab,1:52.946,28
29,23,Ido Cohen,Carlin Buzz Racing,1:53.023,29
—,2,Arthur Leclerc,Prema Racing,No time set,30
