Team,No.,Driver,Rounds
Red Bull Racing Renault,1,Sebastian Vettel,All
Red Bull Racing Renault,2,Mark Webber,All
VodafoneMcLaren Mercedes,3,Jenson Button,All
VodafoneMcLaren Mercedes,4,Lewis Hamilton,All
Scuderia Ferrari,5,Fernando Alonso,All
Scuderia Ferrari,6,Felipe Massa,All
Mercedes AMGPetronasF1 Team,7,Michael Schumacher,All
Mercedes AMGPetronasF1 Team,8,Nico Rosberg,All
Lotus F1 Team,9,Kimi Räikkönen,All
Lotus F1 Team,10,Romain Grosjean,"1–12, 14–20"
Lotus F1 Team,Jérôme d'Ambrosio,13,
SaharaForce India F1 Team,11,Paul di Resta,All
SaharaForce India F1 Team,12,Nico Hülkenberg,All
Sauber F1 Team,14,Kamui Kobayashi,All
Sauber F1 Team,15,Sergio Pérez,All
Scuderia Toro Rosso,16,Daniel Ricciardo,All
Scuderia Toro Rosso,17,Jean-Éric Vergne,All
Williams F1 Team,18,Pastor Maldonado,All
Williams F1 Team,19,Bruno Senna,All
Caterham F1 Team,20,Heikki Kovalainen,All
Caterham F1 Team,21,Vitaly Petrov,All
HRT Formula 1 Team,22,Pedro de la Rosa,All
HRT Formula 1 Team,23,Narain Karthikeyan,All
Marussia F1 Team,24,Timo Glock,All
Marussia F1 Team,25,Charles Pic,All
