Pos.,No.,Driver,Team,Time,Grid
1,9,Oliver Rowland,DAMS,1:26.731,1
2,6,Artem Markelov,Russian Time,1:26.806,2
3,15,Jordan King,MP Motorsport,1:26.849,3
4,2,Antonio Fuoco,Prema Racing,1:26.885,4
5,20,Norman Nato,Arden International,1:26.968,5
6,10,Nicholas Latifi,DAMS,1:26.973,6
7,18,Nyck de Vries,Rapax,1:27.026,7
8,7,Nobuharu Matsushita,ART Grand Prix,1:27.103,8
9,19,Sergio Canamasas,Rapax,1:27.129,9
10,17,Santino Ferrucci,Trident,1:27.139,10
11,8,Alexander Albon,ART Grand Prix,1:27.221,11
12,5,Luca Ghiotto,Russian Time,1:27.238,12
13,12,Robert Vișoiu,Campos Racing,1:27.301,13
14,11,Ralph Boschung,Campos Racing,1:27.339,14
15,14,Sérgio Sette Câmara,MP Motorsport,1:27.492,18
16,3,Louis Delétraz,Racing Engineering,1:27.582,15
17,4,Gustav Malja,Racing Engineering,1:27.804,16
18,16,Nabil Jeffri,Trident,1:28.248,17
19,21,Sean Gelael,Arden International,1:46.783,19
EX,1,Charles Leclerc,Prema Racing,1:26.268,20
