Pos.,No.,Driver,Team,Time,Grid
1,7,Nobuharu Matsushita,ART Grand Prix,1:30.982,1
2,3,Nyck de Vries,Racing Engineering,1:31.071,2
3,18,Louis Delétraz,Rapax,1:31.239,3
4,6,Artem Markelov,Russian Time,1:31.266,4
5,19,Roberto Merhi,Rapax,1:31.323,5
6,15,Jordan King,MP Motorsport,1:31.355,6
7,1,Charles Leclerc,Prema Racing,1:31.378,7
8,2,Antonio Fuoco,Prema Racing,1:31.426,8
9,17,Santino Ferrucci,Trident,1:31.482,9
10,8,Alexander Albon,ART Grand Prix,1:31.511,10
11,5,Luca Ghiotto,Russian Time,1:31.529,11
12,14,Sérgio Sette Câmara,MP Motorsport,1:31.653,12
13,9,Oliver Rowland,DAMS,1:31.711,13
14,10,Nicholas Latifi,DAMS,1:31.747,14
15,20,Norman Nato,Arden International,1:31.772,15
16,11,Ralph Boschung,Campos Racing,1:31.878,16
17,4,Gustav Malja,Racing Engineering,1:31.942,17
18,21,Sean Gelael,Arden International,1:32.171,18
19,12,Robert Vișoiu,Campos Racing,1:32.267,19
20,16,Nabil Jeffri,Trident,1:32.373,20
