Pos.,No.,Driver,Team,Time,Grid
1,1,Charles Leclerc,Prema Racing,2:20.842,1
2,10,Nicholas Latifi,DAMS,2:21.510,2
3,9,Oliver Rowland,DAMS,2:21.578,3
4,4,Gustav Malja,Racing Engineering,2:22.069,4
5,2,Antonio Fuoco,Prema Racing,2:22.073,5
6,3,Nyck de Vries,Racing Engineering,2:22.534,6
7,5,Luca Ghiotto,Russian Time,2:22.952,7
8,19,Roberto Merhi,Rapax,2:23.132,8
9,6,Artem Markelov,Russian Time,2:23.180,9
10,8,Alexander Albon,ART Grand Prix,2:23.409,10
11,14,Sérgio Sette Câmara,MP Motorsport,2:23.424,11
12,17,Santino Ferrucci,Trident,2:23.459,12
13,18,Louis Delétraz,Rapax,2:23.470,13
14,11,Ralph Boschung,Campos Racing,2:23.737,14
15,7,Nobuharu Matsushita,ART Grand Prix,2:23.788,15
16,15,Jordan King,MP Motorsport,2:24.127,16
17,12,Robert Visoiu,Campos Racing,2:24.215,17
18,20,Norman Nato,Arden International,2:24.437,18
19,21,Sean Gelael,Arden International,2:25.039,19
20,16,Nabil Jeffri,Trident,2:27.008,20
