Pos.,No.,Driver,Team,Time,Grid
1,1,Charles Leclerc,Prema Racing,1:19.309,1
2,8,Alexander Albon,ART Grand Prix,1:19.321,2
3,9,Oliver Rowland,DAMS,1:19.541,3
4,6,Artem Markelov,Russian Time,1:19.647,4
5,7,Nobuharu Matsushita,ART Grand Prix,1:19.922,5
6,20,Norman Nato,Arden International,1:19.803,6
7,15,Jordan King,MP Motorsport,1:20.058,7
8,18,Nyck de Vries,Rapax,1:19.814,8
9,5,Luca Ghiotto,Russian Time,1:20.089,9
10,10,Nicholas Latifi,DAMS,1:20.042,10
11,21,Sean Gelael,Arden International,1:20.272,11
12,4,Gustav Malja,Racing Engineering,1:20.282,12
13,19,Johnny Cecotto Jr.,Rapax,1:20.413,13
14,2,Antonio Fuoco,Prema Racing,1:20.593,14
15,17,Sergio Canamasas,Trident,1:20.415,15
16,12,Robert Vișoiu,Campos Racing,1:20.867,16
17,3,Louis Delétraz,Racing Engineering,1:21.592,17
18,16,Nabil Jeffri,Trident,1:21.239,18
19,11,Ralph Boschung,Campos Racing,1:21.664,19
20,14,Sérgio Sette Câmara,MP Motorsport,1:21.271,20
