Pos.,No.,Driver,Team,Time,Grid
1,1,Charles Leclerc,Prema Racing,1:38.427,1
2,9,Oliver Rowland,DAMS,1:38.885,2
3,20,Norman Nato,Arden International,1:38.906,3
4,15,Jordan King,MP Motorsport,1:38.988,4
5,6,Artem Markelov,Russian Time,1:39.062,5
6,10,Nicholas Latifi,DAMS,1:39.138,6
7,19,Sergio Canamasas,Rapax,1:39.368,7
8,7,Nobuharu Matsushita,ART Grand Prix,1:39.405,8
9,14,Sérgio Sette Câmara,MP Motorsport,1:39.413,9
10,8,Alexander Albon,ART Grand Prix,1:39.566,13
11,18,Nyck de Vries,Rapax,1:39.594,10
12,4,Gustav Malja,Racing Engineering,1:39.879,11
13,5,Luca Ghiotto,Russian Time,1:39.959,12
14,3,Louis Delétraz,Racing Engineering,1:39.966,14
15,17,Callum Ilott,Trident,1:39.996,15
16,11,Ralph Boschung,Campos Racing,1:40.394,16
17,12,Robert Vișoiu,Campos Racing,1:40.412,20
18,16,Nabil Jeffri,Trident,1:40.454,17
19,21,Sean Gelael,Arden International,1:40.478,18
20,2,Antonio Fuoco,Prema Racing,1:40.568,19
