Pos.,No.,Driver,Team,Time,Grid
1,1,Charles Leclerc,Prema Racing,1:38.907,1
2,2,Antonio Fuoco,Prema Racing,1:39.585,5
3,18,Nyck de Vries,Rapax,1:39.665,2
4,20,Norman Nato,Arden International,1:39.696,3
5,5,Luca Ghiotto,Russian Time,1:39.948,4
6,7,Nobuharu Matsushita,ART Grand Prix,1:40.011,6
7,6,Artem Markelov,Russian Time,1:40.018,7
8,9,Oliver Rowland,DAMS,1:40.053,8
9,8,Alexander Albon,ART Grand Prix,1:40.140,9
10,14,Sérgio Sette Câmara,MP Motorsport,1:40.168,10
11,15,Jordan King,MP Motorsport,1:40.201,11
12,19,Johnny Cecotto Jr.,Rapax,1:40.262,12
13,10,Nicholas Latifi,DAMS,1:40.280,13
14,3,Louis Delétraz,Racing Engineering,1:40.453,14
15,11,Ralph Boschung,Campos Racing,1:40.501,15
16,4,Gustav Malja,Racing Engineering,1:40.473,17
17,21,Sean Gelael,Arden International,1:40.778,18
18,17,Sergio Canamasas,Trident,1:40.810,19
19,12,Stefano Coletti,Campos Racing,1:41.416,20
20,16,Nabil Jeffri,Trident,1:41.604,16
