Pos.,No.,Driver,Team,Time,Grid
1,1,Charles Leclerc,Prema Racing,1:52.129,1
2,7,Nobuharu Matsushita,ART Grand Prix,1:52.697,2
3,10,Nicholas Latifi,DAMS,1:52.865,3
4,18,Nyck de Vries,Rapax,1:53.018,4
5,6,Artem Markelov,Russian Time,1:53.135,5
6,2,Antonio Fuoco,Prema Racing,1:53.220,6
7,19,Johnny Cecotto Jr.,Rapax,1:53.313,7
8,17,Sergio Canamasas,Trident,1:53.354,8
9,9,Oliver Rowland,DAMS,1:53.479,9
10,12,Robert Vișoiu,Campos Racing,1:53.670,10
11,14,Sérgio Sette Câmara,MP Motorsport,1:53.853,11
12,20,Norman Nato,Arden International,1:53.900,12
13,21,Sean Gelael,Arden International,1:54.032,13
14,4,Gustav Malja,Racing Engineering,1:54.286,14
15,15,Jordan King,MP Motorsport,1:54.295,15
16,11,Ralph Boschung,Campos Racing,1:54.339,16
17,8,Sergey Sirotkin,ART Grand Prix,1:54.384,17
18,3,Louis Delétraz,Racing Engineering,1:54.688,18
19,16,Nabil Jeffri,Trident,1:54.857,19
20,5,Luca Ghiotto,Russian Time,2:06.148,20
