Pos.,No.,Driver,Team,Time,Grid
1,1,Charles Leclerc,Prema Racing,1:29.285,1
2,5,Luca Ghiotto,Russian Time,1:29.478,2
3,18,Nyck de Vries,Rapax,1:29.550,3
4,15,Jordan King,MP Motorsport,1:29.585,4
5,8,Alexander Albon,ART Grand Prix,1:29.732,5
6,9,Oliver Rowland,DAMS,1:29.744,6
7,20,Norman Nato,Arden International,1:29.790,7
8,2,Antonio Fuoco,Prema Racing,1:29.834,8
9,10,Nicholas Latifi,DAMS,1:29.885,9
10,7,Nobuharu Matsushita,ART Grand Prix,1:29.975,10
11,3,Louis Delétraz,Racing Engineering,1:30.046,11
12,11,Ralph Boschung,Campos Racing,1:30.065,12
13,6,Artem Markelov,Russian Time,1:30.177,13
14,14,Sérgio Sette Câmara,MP Motorsport,1:30.231,14
15,12,Roberto Merhi,Campos Racing,1:30.389,15
16,19,Johnny Cecotto Jr.,Rapax,1:30.441,16
17,21,Sean Gelael,Arden International,1:30.772,17
18,4,Gustav Malja,Racing Engineering,1:30.814,18
19,17,Sergio Canamasas,Trident,1:31.148,19
20,16,Nabil Jeffri,Trident,1:32.303,20
