Pos.,No.,Driver,Team,Time,Grid
1,1,Charles Leclerc,Prema Racing,1:24.682,1
2,5,Luca Ghiotto,Russian Time,1:24.942,2
3,14,Sérgio Sette Câmara,MP Motorsport,1:25.257,3
4,9,Oliver Rowland,DAMS,1:25.316,4
5,6,Artem Markelov,Russian Time,1:25.422,5
6,8,Alexander Albon,ART Grand Prix,1:25.426,6
7,7,Nobuharu Matsushita,ART Grand Prix,1:25.450,7
8,3,Nyck de Vries,Racing Engineering,1:25.470,8
9,10,Nicholas Latifi,DAMS,1:25.477,9
10,20,Norman Nato,Arden International,1:25.583,10
11,12,Álex Palou,Campos Racing,1:25.600,11
12,18,Louis Delétraz,Rapax,1:25.627,12
13,17,Santino Ferrucci,Trident,1:25.632,13
14,15,Jordan King,MP Motorsport,1:25.653,14
15,2,Antonio Fuoco,Prema Racing,1:25.739,15
16,4,Gustav Malja,Racing Engineering,1:25.916,16
17,19,René Binder,Rapax,1:26.121,17
18,16,Nabil Jeffri,Trident,1:26.148,18
19,21,Sean Gelael,Arden International,1:26.163,19
20,11,Ralph Boschung,Campos Racing,1:26.647,20
